Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,USA
Turnover foul,8.0,6,1,NED,1.0,NEUSHUL K,1 - 1,199,USA,3:19,1
Steal,13.0,6,1,NED,1.0,HEINIS A,1 - 1,199,NED,3:19,1
Action shot - Saved,11.0,6,1,NED,1.0,KLAASSEN L,1 - 1,172,NED,2:52,1
Counter attack - Goal,11.0,6,1,NED,1.0,DRIES A,2 - 1,158,USA,2:38,2
Turnover foul,7.0,6,1,NED,1.0,van BELKUM I,2 - 1,129,NED,2:09,2
Steal,8.0,6,1,NED,1.0,NEUSHUL K,2 - 1,129,USA,2:09,2
Turnover foul,9.0,6,1,NED,1.0,KRAUS J,2 - 1,115,USA,1:55,2
Steal,2.0,6,1,NED,1.0,SMIT Y,2 - 1,115,NED,1:55,2
Centre shot - Saved,12.0,6,1,NED,1.0,van der MOLEN l,2 - 1,97,NED,1:37,2
20 sec. exclusion in field,10.0,6,1,NED,1.0,GENEE D,2 - 1,81,NED,1:21,2
Action shot - Blocked,8.0,6,1,NED,1.0,NEUSHUL K,2 - 1,59,USA,0:59,2
Centre shot - Goal,12.0,6,2,NED,1.0,van der MOLEN l,2 - 2,46,NED,0:46,2
Turnover foul,12.0,6,2,NED,1.0,CRAIG K,2 - 2,29,USA,0:29,2
Steal,4.0,6,2,NED,1.0,HAKHVERDIAN B,2 - 2,29,NED,0:29,2
Starting goalkeeper,13.0,6,2,NED,2.0,HEINIS A,2 - 2,480,NED,8:00,2
Starting goalkeeper,1.0,6,2,NED,2.0,ARMSTRONG E,2 - 2,480,USA,8:00,2
Sprint won possession,5.0,6,2,NED,2.0,van der SLOOT S,2 - 2,480,NED,8:00,2
Action shot - Goal,11.0,6,3,NED,2.0,KLAASSEN L,2 - 3,460,NED,7:40,2
Action shot - Missed,7.0,6,3,NED,2.0,MATHEWSON C,2 - 3,430,USA,7:10,2
Turnover foul,8.0,6,3,NED,2.0,SEVENICH V,2 - 3,423,NED,7:03,2
20 sec. exclusion in centre,11.0,6,3,NED,2.0,KLAASSEN L,2 - 3,409,NED,6:49,2
Extra player shot - Goal,7.0,6,3,NED,2.0,MATHEWSON C,3 - 3,393,USA,6:33,3
Centre shot - Missed,8.0,6,3,NED,2.0,SEVENICH V,3 - 3,368,NED,6:08,3
Turnover foul,2.0,6,3,NED,2.0,SILVER L,3 - 3,356,USA,5:56,3
Steal,13.0,6,3,NED,2.0,HEINIS A,3 - 3,356,NED,5:56,3
Turnover foul,6.0,6,3,NED,2.0,STOMPHORST N,3 - 3,335,NED,5:35,3
Steal,7.0,6,3,NED,2.0,MATHEWSON C,3 - 3,335,USA,5:35,3
20 sec. exclusion in field,6.0,6,3,NED,2.0,STOMPHORST N,3 - 3,315,NED,5:15,3
Action shot - Blocked,10.0,6,3,NED,2.0,RULON K,3 - 3,294,USA,4:54,3
20 sec. exclusion in centre,5.0,6,3,NED,2.0,CLARK C,3 - 3,282,USA,4:42,3
Action shot - Goal,2.0,6,4,NED,2.0,SMIT Y,3 - 4,257,NED,4:17,3
Turnover foul,11.0,6,4,NED,2.0,DRIES A,3 - 4,242,USA,4:02,3
Action shot - Saved,2.0,6,4,NED,2.0,SMIT Y,3 - 4,216,NED,3:36,3
Centre shot - Goal,11.0,6,4,NED,2.0,DRIES A,4 - 4,199,USA,3:19,4
20 sec. exclusion in centre,10.0,6,4,NED,2.0,GENEE D,4 - 4,150,NED,2:30,4
Extra player shot - Goal,9.0,6,4,NED,2.0,KRAUS J,5 - 4,137,USA,2:17,5
Turnover foul,7.0,6,4,NED,2.0,van BELKUM I,5 - 4,110,NED,1:50,5
Steal,4.0,6,4,NED,2.0,FATTAL R,5 - 4,110,USA,1:50,5
Action shot - Goal,3.0,6,4,NED,2.0,SEIDEMANN M,6 - 4,85,USA,1:25,6
Centre shot - Saved,7.0,6,4,NED,2.0,van BELKUM I,6 - 4,55,NED,0:55,6
Action shot - Saved,4.0,6,4,NED,2.0,FATTAL R,6 - 4,33,USA,0:33,6
20 sec. exclusion in field,3.0,6,4,NED,2.0,SEIDEMANN M,6 - 4,25,USA,0:25,6
Centre shot - Post,12.0,6,4,NED,4.0,CRAIG K,6 - 4,52,USA,0:52,6
Time-Out,,6,4,NED,4.0,,6 - 4,48,NED,0:48,6
Action shot - Goal,11.0,6,5,NED,2.0,KLAASSEN L,6 - 5,3,NED,0:03,6
5m shot - Blocked,8.0,6,5,NED,2.0,NEUSHUL K,6 - 5,1,USA,0:01,6
Starting goalkeeper,1.0,6,5,NED,3.0,ARMSTRONG E,6 - 5,480,USA,8:00,6
Starting goalkeeper,13.0,6,5,NED,3.0,HEINIS A,6 - 5,480,NED,8:00,6
Sprint won possession,10.0,6,5,NED,3.0,RULON K,6 - 5,480,USA,8:00,6
Turnover foul,12.0,6,5,NED,3.0,CRAIG K,6 - 5,456,USA,7:36,6
Steal,4.0,6,5,NED,3.0,HAKHVERDIAN B,6 - 5,456,NED,7:36,6
Action shot - Blocked,11.0,6,5,NED,3.0,KLAASSEN L,6 - 5,427,NED,7:07,6
Action shot - Goal,7.0,6,5,NED,3.0,MATHEWSON C,7 - 5,403,USA,6:43,7
Action shot - Post,8.0,6,5,NED,3.0,SEVENICH V,7 - 5,382,NED,6:22,7
Action shot - Saved,5.0,6,5,NED,3.0,CLARK C,7 - 5,365,USA,6:05,7
Action shot - Blocked,5.0,6,5,NED,3.0,CLARK C,7 - 5,351,USA,5:51,7
20 sec. exclusion in centre,5.0,6,5,NED,3.0,CLARK C,7 - 5,340,USA,5:40,7
Action shot - Goal,4.0,6,6,NED,3.0,HAKHVERDIAN B,7 - 6,315,NED,5:15,7
5m shot - Missed,3.0,6,6,NED,3.0,SEIDEMANN M,7 - 6,290,USA,4:50,7
Turnover foul,12.0,6,6,NED,3.0,van der MOLEN l,7 - 6,262,NED,4:22,7
Steal,2.0,6,6,NED,3.0,SILVER L,7 - 6,262,USA,4:22,7
20 sec. exclusion in centre,2.0,6,6,NED,3.0,SMIT Y,7 - 6,250,NED,4:10,7
Time-Out,,6,6,NED,3.0,,7 - 6,250,USA,4:10,7
Extra player shot - Saved,2.0,6,6,NED,3.0,SILVER L,7 - 6,233,USA,3:53,7
Action shot - Goal,8.0,6,6,NED,3.0,NEUSHUL K,8 - 6,222,USA,3:42,8
Action shot - Saved,5.0,6,6,NED,3.0,van der SLOOT S,8 - 6,197,NED,3:17,8
20 sec. exclusion in field,8.0,6,6,NED,3.0,SEVENICH V,8 - 6,190,NED,3:10,8
