Action,Cap,FRA,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Extra player shot - Blocked,7.0,0,2,1,HUN,1.0,VALVERDE C,0 - 1,393,FRA,6:33
Action shot - Goal,8.0,0,2,2,HUN,1.0,KESZTHELYI R,0 - 2,371,HUN,6:11
Turnover foul,12.0,0,2,2,HUN,1.0,DAULE A,0 - 2,345,FRA,5:45
Steal,12.0,0,2,2,HUN,1.0,SZILAGYI D,0 - 2,345,HUN,5:45
20 sec. exclusion in centre,6.0,0,2,2,HUN,1.0,MAHIEU G,0 - 2,329,FRA,5:29
Extra player shot - Goal,6.0,0,2,3,HUN,1.0,TAKACS O,0 - 3,317,HUN,5:17
Action shot - Saved,12.0,0,2,3,HUN,1.0,DAULE A,0 - 3,286,FRA,4:46
Action shot - Goal,3.0,0,2,4,HUN,1.0,ANTAL D,0 - 4,270,HUN,4:30
Time-Out,,0,2,4,HUN,1.0,,0 - 4,270,FRA,4:30
Turnover foul,5.0,0,2,4,HUN,1.0,GUILLET L,0 - 4,242,FRA,4:02
Steal,12.0,0,2,4,HUN,1.0,SZILAGYI D,0 - 4,242,HUN,4:02
5m shot - Goal,8.0,0,2,5,HUN,1.0,KESZTHELYI R,0 - 5,218,HUN,3:38
Turnover foul,12.0,0,2,5,HUN,1.0,DAULE A,0 - 5,203,FRA,3:23
Steal,12.0,0,2,5,HUN,1.0,SZILAGYI D,0 - 5,203,HUN,3:23
20 sec. exclusion in field,12.0,0,2,5,HUN,1.0,DAULE A,0 - 5,196,FRA,3:16
Extra player shot - Goal,9.0,0,2,6,HUN,1.0,TOTH I,0 - 6,181,HUN,3:01
Turnover foul,5.0,0,2,6,HUN,1.0,GUILLET L,0 - 6,155,FRA,2:35
Steal,6.0,0,2,6,HUN,1.0,TAKACS O,0 - 6,155,HUN,2:35
20 sec. exclusion in field,2.0,0,2,6,HUN,1.0,MILLOT E,0 - 6,135,FRA,2:15
Extra player shot - Post,5.0,0,2,6,HUN,1.0,SZUCS G,0 - 6,128,HUN,2:08
