Action,Cap,GRE,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Turnover foul,8.0,2,3,1,ESP,2.0,DELAKAS E,1 - 2,188,GRE,3:08
5m shot - Missed,5.0,2,3,1,ESP,2.0,MOLINA G,1 - 2,164,ESP,2:44
Action shot - Goal,2.0,3,3,1,ESP,2.0,MYLONAKIS E,1 - 3,138,GRE,2:18
5m shot - Blocked,6.0,3,3,1,ESP,2.0,MINGUELL M,1 - 3,112,ESP,1:52
5m shot - Missed,8.0,3,3,1,ESP,2.0,DELAKAS E,1 - 3,84,GRE,1:24
Action shot - Saved,10.0,3,3,1,ESP,2.0,PERRONE F,1 - 3,55,ESP,0:55
Turnover foul,2.0,3,3,1,ESP,2.0,MYLONAKIS E,1 - 3,27,GRE,0:27
Steal,3.0,3,3,1,ESP,2.0,de LERA R,1 - 3,27,ESP,0:27
Sprint won possession,8.0,3,3,1,ESP,2.0,ESPANOL A,1 - 3,20,ESP,0:20
20 sec. exclusion in centre,7.0,3,3,1,ESP,2.0,AFROUDAKIS C,1 - 3,6,GRE,0:06
Starting goalkeeper,1.0,3,3,1,ESP,3.0,AGUILAR I,1 - 3,480,ESP,8:00
Starting goalkeeper,1.0,3,3,1,ESP,3.0,TSALKANIS K,1 - 3,480,GRE,8:00
Sprint won possession,8.0,3,3,1,ESP,3.0,ESPANOL A,1 - 3,480,ESP,8:00
Time-Out,,3,3,1,ESP,3.0,,1 - 3,479,ESP,7:59
Centre shot - Goal,5.0,3,3,2,ESP,3.0,MOLINA G,2 - 3,465,ESP,7:45
Turnover foul,5.0,3,3,2,ESP,3.0,FOUNTOULIS I,2 - 3,438,GRE,7:18
Turnover foul,8.0,3,3,2,ESP,3.0,ESPANOL A,2 - 3,414,ESP,6:54
Steal,8.0,3,3,2,ESP,3.0,DELAKAS E,2 - 3,414,GRE,6:54
Turnover foul,9.0,3,3,2,ESP,3.0,MOURIKIS K,2 - 3,392,GRE,6:32
Centre shot - Saved,6.0,3,3,2,ESP,3.0,MINGUELL M,2 - 3,379,ESP,6:19
Action shot - Missed,5.0,3,3,2,ESP,3.0,FOUNTOULIS I,2 - 3,350,GRE,5:50
20 sec. exclusion in centre,8.0,3,3,2,ESP,3.0,DELAKAS E,2 - 3,329,GRE,5:29
Extra player shot - Saved,9.0,3,3,2,ESP,3.0,VALLES X,2 - 3,309,ESP,5:09
Centre shot - Saved,9.0,3,3,2,ESP,3.0,VALLES X,2 - 3,300,ESP,5:00
5m shot - Goal,7.0,4,3,2,ESP,3.0,AFROUDAKIS C,2 - 4,283,GRE,4:43
5m shot - Missed,10.0,4,3,2,ESP,3.0,PERRONE F,2 - 4,259,ESP,4:19
5m shot - Goal,5.0,5,3,2,ESP,3.0,FOUNTOULIS I,2 - 5,239,GRE,3:59
Centre shot - Goal,7.0,5,3,3,ESP,3.0,SZIRANYI B,3 - 5,212,ESP,3:32
Action shot - Goal,5.0,6,3,3,ESP,3.0,FOUNTOULIS I,3 - 6,185,GRE,3:05
Goalkeeper substitution,13.0,6,3,3,ESP,3.0,LOPEZ D,3 - 6,185,ESP,3:05
5m shot - Saved,5.0,6,3,3,ESP,3.0,MOLINA G,3 - 6,158,ESP,2:38
20 sec. exclusion in centre,5.0,6,3,3,ESP,3.0,MOLINA G,3 - 6,133,ESP,2:13
Turnover foul,5.0,6,3,3,ESP,3.0,FOUNTOULIS I,3 - 6,123,GRE,2:03
Steal,12.0,6,3,3,ESP,3.0,GARCIA X,3 - 6,123,ESP,2:03
Action shot - Saved,12.0,6,3,3,ESP,3.0,GARCIA X,3 - 6,102,ESP,1:42
Action shot - Saved,6.0,6,3,3,ESP,3.0,PONTIKEAS K,3 - 6,74,GRE,1:14
20 sec. exclusion in field,6.0,6,3,3,ESP,3.0,PONTIKEAS K,3 - 6,44,GRE,0:44
Exclusion with substitution,6.0,6,3,3,ESP,3.0,PONTIKEAS K,3 - 6,44,GRE,0:44
Action shot - Saved,11.0,6,3,3,ESP,3.0,ESTRANY P,3 - 6,16,ESP,0:16
Starting goalkeeper,1.0,6,3,3,ESP,4.0,TSALKANIS K,3 - 6,480,GRE,8:00
