Action,Cap,Game,HUN,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
5m shot,2.0,4,1,4,USA,2.0,MUSSELMAN M,4 - 1,303,USA,5:03,Missed,0
Action shot,4.0,4,1,5,USA,2.0,FATTAL R,5 - 1,256,USA,4:16,Goal,1
Extra player shot,8.0,4,1,5,USA,2.0,KESZTHELYI R,5 - 1,231,HUN,3:51,Blocked,0
Action shot,6.0,4,1,5,USA,2.0,TAKACS O,5 - 1,218,HUN,3:38,Post,0
Action shot,7.0,4,1,6,USA,2.0,MATHEWSON C,6 - 1,192,USA,3:12,Goal,1
Extra player shot,6.0,4,1,7,USA,2.0,STEFFENS M,7 - 1,152,USA,2:32,Goal,1
Action shot,10.0,4,1,7,USA,2.0,BUJKA B,7 - 1,126,HUN,2:06,Saved,0
Action shot,8.0,4,1,7,USA,2.0,NEUSHUL K,7 - 1,99,USA,1:39,Missed,0
Extra player shot,3.0,4,1,7,USA,2.0,ANTAL D,7 - 1,61,HUN,1:01,Saved,0
5m shot,8.0,4,1,7,USA,2.0,NEUSHUL K,7 - 1,31,USA,0:31,Missed,0
Counter attack,8.0,4,2,7,USA,2.0,KESZTHELYI R,7 - 2,22,HUN,0:22,Goal,1
5m shot,3.0,4,2,7,USA,3.0,SEIDEMANN M,7 - 2,426,USA,7:06,Blocked,0
Action shot,7.0,4,2,7,USA,3.0,MATHEWSON C,7 - 2,414,USA,6:54,Post,0
5m shot,8.0,4,2,7,USA,3.0,KESZTHELYI R,7 - 2,386,HUN,6:26,Blocked,0
Action shot,7.0,4,2,8,USA,3.0,MATHEWSON C,8 - 2,359,USA,5:59,Goal,1
Extra player shot,12.0,4,2,8,USA,3.0,MENCZINGER K,8 - 2,322,HUN,5:22,Post,0
Action shot,6.0,4,2,9,USA,3.0,STEFFENS M,9 - 2,294,USA,4:54,Goal,1
5m shot,12.0,4,2,9,USA,3.0,MENCZINGER K,9 - 2,264,HUN,4:24,Post,0
5m shot,8.0,4,2,9,USA,3.0,KESZTHELYI R,9 - 2,221,HUN,3:41,Post,0
Action shot,4.0,4,2,10,USA,3.0,FATTAL R,10 - 2,184,USA,3:04,Goal,1
Action shot,4.0,4,2,10,USA,3.0,KISTELEKI D,10 - 2,154,HUN,2:34,Saved,0
Action shot,2.0,4,3,10,USA,3.0,CZIGANY D,10 - 3,115,HUN,1:55,Goal,1
Action shot,6.0,4,3,10,USA,3.0,STEFFENS M,10 - 3,75,USA,1:15,Saved,0
Action shot,3.0,4,3,11,USA,3.0,SEIDEMANN M,11 - 3,73,USA,1:13,Goal,1
Action shot,7.0,4,3,11,USA,3.0,ILLES A,11 - 3,46,HUN,0:46,Blocked,0
Extra player shot,8.0,4,4,11,USA,4.0,KESZTHELYI R,11 - 4,447,HUN,7:27,Goal,1
Centre shot,9.0,4,4,11,USA,4.0,GROSSMAN A,11 - 4,401,USA,6:41,Saved,0
Action shot,2.0,4,5,11,USA,4.0,CZIGANY D,11 - 5,285,HUN,4:45,Goal,1
Action shot,4.0,4,5,11,USA,4.0,FATTAL R,11 - 5,244,USA,4:04,Blocked,0
Action shot,12.0,4,6,11,USA,4.0,MENCZINGER K,11 - 6,147,HUN,2:27,Goal,1
Penalty shot,8.0,4,7,11,USA,4.0,KESZTHELYI R,11 - 7,67,HUN,1:07,Goal,1
Action shot,9.0,4,7,12,USA,4.0,GROSSMAN A,12 - 7,38,USA,0:38,Goal,1
5m shot,8.0,4,7,12,USA,4.0,KESZTHELYI R,12 - 7,14,HUN,0:14,Missed,0
Action shot,10.0,5,0,0,CAN,1.0,BUJKA B,0 - 0,454,HUN,7:34,Saved,0
Action shot,4.0,5,0,0,CAN,1.0,KISTELEKI D,0 - 0,409,HUN,6:49,Saved,0
5m shot,5.0,5,1,0,CAN,1.0,SZUCS G,0 - 1,396,HUN,6:36,Goal,1
5m shot,4.0,5,1,0,CAN,1.0,KISTELEKI D,0 - 1,333,HUN,5:33,Saved,0
Extra player shot,11.0,5,1,1,CAN,1.0,VALIN S,1 - 1,203,CAN,3:23,Goal,1
Action shot,2.0,5,1,1,CAN,1.0,CZIGANY D,1 - 1,172,HUN,2:52,Post,0
Centre shot,9.0,5,1,1,CAN,1.0,TOTH I,1 - 1,106,HUN,1:46,Saved,0
5m shot,8.0,5,1,1,CAN,1.0,FOURNIER S,1 - 1,77,CAN,1:17,Saved,0
Counter attack,4.0,5,2,1,CAN,1.0,KISTELEKI D,1 - 2,70,HUN,1:10,Goal,1
5m shot,8.0,5,2,1,CAN,1.0,KESZTHELYI R,1 - 2,1,HUN,0:01,Missed,0
Extra player shot,5.0,5,2,2,CAN,2.0,EGGENS M,2 - 2,366,CAN,6:06,Goal,1
Centre shot,3.0,5,2,2,CAN,2.0,ANTAL D,2 - 2,342,HUN,5:42,Missed,0
Extra player shot,8.0,5,3,2,CAN,2.0,KESZTHELYI R,2 - 3,322,HUN,5:22,Goal,1
Action shot,12.0,5,3,2,CAN,2.0,PERREAULT D,2 - 3,261,CAN,4:21,Saved,0
Action shot,11.0,5,3,2,CAN,2.0,GARDA K,2 - 3,220,HUN,3:40,Blocked,0
Action shot,9.0,5,3,3,CAN,2.0,EGGENS C,3 - 3,201,CAN,3:21,Goal,1
5m shot,5.0,5,3,3,CAN,2.0,SZUCS G,3 - 3,171,HUN,2:51,Post,0
Action shot,8.0,5,4,3,CAN,2.0,KESZTHELYI R,3 - 4,171,HUN,2:51,Goal,1
Centre shot,3.0,5,4,3,CAN,2.0,ANTAL D,3 - 4,122,HUN,2:02,Blocked,0
Action shot,11.0,5,4,3,CAN,2.0,VALIN S,3 - 4,92,CAN,1:32,Missed,0
5m shot,5.0,5,4,3,CAN,2.0,SZUCS G,3 - 4,47,HUN,0:47,Missed,0
5m shot,7.0,5,4,3,CAN,2.0,ILLES A,3 - 4,2,HUN,0:02,Blocked,0
5m shot,5.0,5,4,3,CAN,3.0,SZUCS G,3 - 4,438,HUN,7:18,Missed,0
Action shot,9.0,5,4,3,CAN,3.0,EGGENS C,3 - 4,420,CAN,7:00,Blocked,0
5m shot,8.0,5,4,3,CAN,3.0,KESZTHELYI R,3 - 4,403,HUN,6:43,Saved,0
Extra player shot,4.0,5,5,3,CAN,3.0,KISTELEKI D,3 - 5,352,HUN,5:52,Goal,1
Extra player shot,10.0,5,5,4,CAN,3.0,ROBINSON C,4 - 5,273,CAN,4:33,Goal,1
Centre shot,2.0,5,5,4,CAN,3.0,ALOGBO K,4 - 5,230,CAN,3:50,Saved,0
Extra player shot,8.0,5,6,4,CAN,3.0,KESZTHELYI R,4 - 6,199,HUN,3:19,Goal,1
Action shot,9.0,5,6,4,CAN,3.0,EGGENS C,4 - 6,180,CAN,3:00,Missed,0
Action shot,3.0,5,6,4,CAN,3.0,ANTAL D,4 - 6,149,HUN,2:29,Saved,0
5m shot,7.0,5,6,5,CAN,3.0,BEKHAZI J,5 - 6,125,CAN,2:05,Goal,1
Action shot,4.0,5,6,6,CAN,3.0,WRIGHT E,6 - 6,75,CAN,1:15,Goal,1
5m shot,4.0,5,6,6,CAN,3.0,KISTELEKI D,6 - 6,44,HUN,0:44,Saved,0
Action shot,8.0,5,6,6,CAN,3.0,KESZTHELYI R,6 - 6,13,HUN,0:13,Saved,0
Extra player shot,8.0,5,7,6,CAN,4.0,KESZTHELYI R,6 - 7,421,HUN,7:01,Goal,1
Action shot,10.0,5,8,6,CAN,4.0,BUJKA B,6 - 8,380,HUN,6:20,Goal,1
Action shot,6.0,5,8,6,CAN,4.0,TAKACS O,6 - 8,336,HUN,5:36,Post,0
5m shot,4.0,5,8,6,CAN,4.0,WRIGHT E,6 - 8,306,CAN,5:06,Blocked,0
