Period,Time,Action,Score,Team,Player,Cap,Opponent,ROU,Seconds,Game,Opponent name
4.0,4:46,Turnover foul,7 - 3,KAZ,USHAKOV V,7.0,7,3,286,2,KAZ
4.0,4:46,Steal,7 - 3,ROU,DIACONU N,4.0,7,3,286,2,KAZ
4.0,4:27,20 sec. exclusion in centre,7 - 3,KAZ,PEKOVICH B,12.0,7,3,267,2,KAZ
4.0,4:11,Extra player shot - Saved,7 - 3,ROU,MATEI A,7.0,7,3,251,2,KAZ
4.0,4:02,Action shot - Saved,7 - 3,ROU,NEGREAN T,3.0,7,3,242,2,KAZ
4.0,3:44,Turnover foul,7 - 3,ROU,IANC P,2.0,7,3,224,2,KAZ
4.0,3:44,Steal,7 - 3,KAZ,SHMIDER A,6.0,7,3,224,2,KAZ
4.0,3:18,5m shot - Saved,7 - 3,KAZ,UKUMANOV R,9.0,7,3,198,2,KAZ
4.0,3:01,Turnover foul,7 - 3,ROU,DIACONU N,4.0,7,3,181,2,KAZ
4.0,3:01,Steal,7 - 3,KAZ,USHAKOV V,7.0,7,3,181,2,KAZ
4.0,2:20,20 sec. exclusion in centre,7 - 3,KAZ,KOLIADENKO A,8.0,7,3,140,2,KAZ
4.0,2:20,Time-Out,7 - 3,ROU,,,7,3,140,2,KAZ
4.0,2:12,Turnover foul,7 - 3,ROU,CHIOVEANU M,8.0,7,3,132,2,KAZ
4.0,1:42,5m shot - Missed,7 - 3,KAZ,USHAKOV V,7.0,7,3,102,2,KAZ
4.0,1:25,20 sec. exclusion in field,7 - 3,KAZ,UKUMANOV R,9.0,7,3,85,2,KAZ
4.0,1:09,20 sec. exclusion in centre,7 - 3,KAZ,SHMIDER A,6.0,7,3,69,2,KAZ
4.0,0:57,Turnover foul,7 - 3,ROU,TEOHARI D,5.0,7,3,57,2,KAZ
4.0,0:57,Steal,7 - 3,KAZ,MEDVEDEV Y,3.0,7,3,57,2,KAZ
4.0,0:32,5m shot - Saved,7 - 3,KAZ,SHAKENOV M,5.0,7,3,32,2,KAZ
4.0,0:10,Action shot - Goal,7 - 4,ROU,MATEI A,7.0,7,4,10,2,KAZ
1.0,8:00,Starting goalkeeper,0 - 0,GER,SCHENKEL M,13.0,0,0,480,3,GER
1.0,8:00,Starting goalkeeper,0 - 0,ROU,STOENESCU D,1.0,0,0,480,3,GER
1.0,8:00,Sprint won possession,0 - 0,GER,OELER M,10.0,0,0,480,3,GER
1.0,7:36,Penalty foul,0 - 0,ROU,BUSILA A,6.0,0,0,456,3,GER
1.0,7:36,Penalty shot - Goal,1 - 0,GER,NOSSEK H,7.0,1,0,456,3,GER
1.0,7:14,Centre shot - Saved,1 - 0,ROU,CHIOVEANU M,8.0,1,0,434,3,GER
1.0,6:49,Turnover foul,1 - 0,GER,BUKOWSKI E,2.0,1,0,409,3,GER
1.0,6:49,Steal,1 - 0,ROU,MATEI A,7.0,1,0,409,3,GER
1.0,6:24,Action shot - Saved,1 - 0,ROU,BUSILA A,6.0,1,0,384,3,GER
1.0,6:08,Turnover foul,1 - 0,GER,STAMM M,9.0,1,0,368,3,GER
1.0,5:44,5m shot - Goal,1 - 1,ROU,DIACONU N,4.0,1,1,344,3,GER
1.0,5:22,Centre shot - Saved,1 - 1,GER,EIDNER D,12.0,1,1,322,3,GER
1.0,5:01,Turnover foul,1 - 1,ROU,GHIBAN A,11.0,1,1,301,3,GER
1.0,5:01,Steal,1 - 1,GER,BUKOWSKI E,2.0,1,1,301,3,GER
1.0,4:45,Turnover foul,1 - 1,GER,EIDNER D,12.0,1,1,285,3,GER
