Period,Time,Action,Score,Team,Player,Cap,Opponent,ROU,Seconds,Game,Opponent name,Result,Goal
1.0,1:08,Action shot,4 - 2,GER,NOSSEK H,7.0,4,2,68,3,GER,Missed,0
1.0,0:25,Action shot,4 - 2,ROU,DIACONU N,4.0,4,2,25,3,GER,Blocked,0
1.0,0:02,5m shot,4 - 3,ROU,MATEI A,7.0,4,3,2,3,GER,Goal,1
1.0,0:01,5m shot,4 - 3,GER,REAL J,4.0,4,3,1,3,GER,Missed,0
2.0,7:19,Action shot,5 - 3,GER,SCHUELER P,8.0,5,3,439,3,GER,Goal,1
2.0,6:18,Action shot,5 - 3,ROU,TEOHARI D,5.0,5,3,378,3,GER,Saved,0
2.0,6:01,Action shot,5 - 3,GER,NOSSEK H,7.0,5,3,361,3,GER,Saved,0
2.0,5:26,Action shot,5 - 3,GER,NOSSEK H,7.0,5,3,326,3,GER,Saved,0
2.0,4:34,5m shot,5 - 3,GER,ROHE T,5.0,5,3,274,3,GER,Saved,0
2.0,4:10,Action shot,5 - 3,ROU,GHIBAN A,11.0,5,3,250,3,GER,Saved,0
2.0,3:20,Action shot,5 - 3,GER,NOSSEK H,7.0,5,3,200,3,GER,Post,0
2.0,2:52,Action shot,6 - 3,GER,EIDNER D,12.0,6,3,172,3,GER,Goal,1
2.0,2:08,Action shot,6 - 3,ROU,MATEI A,7.0,6,3,128,3,GER,Missed,0
4.0,1:14,Action shot,6 - 3,GER,OELER M,10.0,6,3,74,3,GER,Saved,0
2.0,1:28,Action shot,6 - 3,ROU,GEORGESCU R,10.0,6,3,88,3,GER,Post,0
2.0,1:01,5m shot,6 - 3,GER,JUENGLING M,6.0,6,3,61,3,GER,Saved,0
2.0,0:38,5m shot,7 - 3,GER,SCHUELER P,8.0,7,3,38,3,GER,Goal,1
2.0,0:03,Extra player shot,7 - 3,ROU,BUSILA A,6.0,7,3,3,3,GER,Blocked,0
2.0,0:01,5m shot,7 - 3,GER,NOSSEK H,7.0,7,3,1,3,GER,Saved,0
3.0,7:19,Action shot,7 - 3,ROU,GHIBAN A,11.0,7,3,439,3,GER,Blocked,0
3.0,6:54,Action shot,7 - 3,GER,BUKOWSKI E,2.0,7,3,414,3,GER,Blocked,0
3.0,6:36,5m shot,7 - 3,ROU,GEORGESCU R,10.0,7,3,396,3,GER,Missed,0
3.0,5:47,5m shot,7 - 3,ROU,GEORGESCU R,10.0,7,3,347,3,GER,Saved,0
3.0,4:54,Centre shot,7 - 3,ROU,IANC P,2.0,7,3,294,3,GER,Saved,0
3.0,4:52,Centre shot,7 - 4,ROU,IANC P,2.0,7,4,292,3,GER,Goal,1
3.0,4:26,5m shot,7 - 4,GER,JUENGLING M,6.0,7,4,266,3,GER,Post,0
3.0,3:46,Action shot,7 - 5,ROU,BUSILA A,6.0,7,5,226,3,GER,Goal,1
3.0,3:18,Action shot,7 - 5,GER,STAMM M,9.0,7,5,198,3,GER,Saved,0
3.0,2:48,Action shot,8 - 5,GER,SCHUELER P,8.0,8,5,168,3,GER,Goal,1
3.0,1:41,Extra player shot,8 - 5,GER,OELER M,10.0,8,5,101,3,GER,Saved,0
