Action,Cap,Game,MNE,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Exclusion with substitution,4.0,1,7,11,SRB,4.0,RANDELOVIC S,11 - 7,338,SRB,5:38
Extra player shot - Post,2.0,1,7,11,SRB,4.0,BRGULJAN D,11 - 7,319,MNE,5:19
Turnover foul,11.0,1,7,11,SRB,4.0,PRLAINOVIC A,11 - 7,292,SRB,4:52
Goalkeeper substitution,1.0,1,7,11,SRB,4.0,LAZOVIC D,11 - 7,277,MNE,4:37
20 sec. exclusion in centre,9.0,1,7,11,SRB,4.0,JAKSIC N,11 - 7,274,SRB,4:34
Extra player shot - Goal,5.0,1,8,11,SRB,4.0,BRGULJAN D,11 - 8,257,MNE,4:17
Turnover foul,12.0,1,8,11,SRB,4.0,MITORVIC S,11 - 8,224,SRB,3:44
Steal,5.0,1,8,11,SRB,4.0,BRGULJAN D,11 - 8,224,MNE,3:44
Turnover foul,11.0,1,8,11,SRB,4.0,PRLAINOVIC A,11 - 8,179,SRB,2:59
20 sec. exclusion in centre,7.0,1,8,11,SRB,4.0,NIKIC S,11 - 8,159,SRB,2:39
Time-Out,,1,8,11,SRB,4.0,,11 - 8,159,MNE,2:39
Goalkeeper substitution,13.0,1,8,11,SRB,4.0,SCEPANOVIC M,11 - 8,159,MNE,2:39
Action shot - Saved,4.0,1,8,11,SRB,4.0,CUCKOVIC U,11 - 8,134,MNE,2:14
Action shot - Saved,9.0,1,8,11,SRB,4.0,JAKSIC N,11 - 8,114,SRB,1:54
Time-Out,,1,8,11,SRB,4.0,,11 - 8,114,SRB,1:54
Action shot - Saved,5.0,1,8,11,SRB,4.0,CUK M,11 - 8,83,SRB,1:23
Turnover foul,12.0,1,8,11,SRB,4.0,JOKIC P,11 - 8,65,MNE,1:05
Centre shot - Post,6.0,1,8,11,SRB,4.0,PIJETLOVIC D,11 - 8,34,SRB,0:34
Action shot - Saved,9.0,1,8,11,SRB,4.0,IVOVIC A,11 - 8,16,MNE,0:16
Starting goalkeeper,1.0,2,0,0,AUS,1.0,STANTON-FRENCH J,0 - 0,480,AUS,8:00
Starting goalkeeper,13.0,2,0,0,AUS,1.0,SCEPANOVIC M,0 - 0,480,MNE,8:00
Sprint won possession,6.0,2,0,0,AUS,1.0,GILCHRIST J,0 - 0,480,AUS,8:00
5m shot - Saved,8.0,2,0,0,AUS,1.0,YOUNGER A,0 - 0,450,AUS,7:30
5m shot - Saved,9.0,2,0,0,AUS,1.0,IVOVIC A,0 - 0,422,MNE,7:02
Action shot - Saved,8.0,2,0,0,AUS,1.0,YOUNGER A,0 - 0,389,AUS,6:29
Turnover foul,11.0,2,0,0,AUS,1.0,KLIKOVAC F,0 - 0,337,MNE,5:37
Steal,8.0,2,0,0,AUS,1.0,YOUNGER A,0 - 0,337,AUS,5:37
5m shot - Post,7.0,2,0,0,AUS,1.0,ROACH A,0 - 0,317,AUS,5:17
Action shot - Saved,2.0,2,0,0,AUS,1.0,BRGULJAN D,0 - 0,296,MNE,4:56
Penalty foul,2.0,2,0,0,AUS,1.0,CAMPBELL R,0 - 0,274,AUS,4:34
Penalty shot - Goal,7.0,2,1,0,AUS,1.0,JANOVIC M,0 - 1,274,MNE,4:34
Turnover foul,9.0,2,1,0,AUS,1.0,SWIFT J,0 - 1,256,AUS,4:16
5m shot - Post,7.0,2,1,0,AUS,1.0,JANOVIC M,0 - 1,229,MNE,3:49
5m shot - Saved,8.0,2,1,0,AUS,1.0,YOUNGER A,0 - 1,199,AUS,3:19
5m shot - Post,6.0,2,1,0,AUS,1.0,RADOVIC A,0 - 1,192,MNE,3:12
Turnover foul,8.0,2,1,0,AUS,1.0,YOUNGER A,0 - 1,162,AUS,2:42
Time-Out,,2,1,0,AUS,1.0,,0 - 1,159,MNE,2:39
5m shot - Missed,2.0,2,1,0,AUS,1.0,BRGULJAN D,0 - 1,134,MNE,2:14
5m shot - Blocked,11.0,2,1,0,AUS,1.0,HOWDEN R,0 - 1,108,AUS,1:48
20 sec. exclusion in centre,8.0,2,1,0,AUS,1.0,UKROPINA A,0 - 1,99,MNE,1:39
Time-Out,,2,1,0,AUS,1.0,,0 - 1,99,AUS,1:39
Turnover foul,12.0,2,1,0,AUS,1.0,MARTIN T,0 - 1,78,AUS,1:18
20 sec. exclusion in centre,12.0,2,1,0,AUS,1.0,MARTIN T,0 - 1,61,AUS,1:01
Extra player shot - Goal,9.0,2,2,0,AUS,1.0,IVOVIC A,0 - 2,47,MNE,0:47
20 sec. exclusion in centre,5.0,2,2,0,AUS,1.0,BRGULJAN D,0 - 2,25,MNE,0:25
Extra player shot - Saved,11.0,2,2,0,AUS,1.0,HOWDEN R,0 - 2,3,AUS,0:03
Action shot - Saved,6.0,2,2,0,AUS,1.0,GILCHRIST J,0 - 2,1,AUS,0:01
Starting goalkeeper,1.0,2,2,0,AUS,2.0,STANTON-FRENCH J,0 - 2,480,AUS,8:00
Starting goalkeeper,13.0,2,2,0,AUS,2.0,SCEPANOVIC M,0 - 2,480,MNE,8:00
Sprint won possession,11.0,2,2,0,AUS,2.0,HOWDEN R,0 - 2,480,AUS,8:00
Action shot - Saved,9.0,2,2,0,AUS,2.0,SWIFT J,0 - 2,452,AUS,7:32
Action shot - Missed,3.0,2,2,0,AUS,2.0,PASKOVIC V,0 - 2,443,MNE,7:23
Turnover foul,6.0,2,2,0,AUS,2.0,GILCHRIST J,0 - 2,413,AUS,6:53
Steal,11.0,2,2,0,AUS,2.0,KLIKOVAC F,0 - 2,413,MNE,6:53
Turnover foul,7.0,2,2,0,AUS,2.0,JANOVIC M,0 - 2,386,MNE,6:26
Steal,3.0,2,2,0,AUS,2.0,FORD G,0 - 2,386,AUS,6:26
5m shot - Missed,6.0,2,2,0,AUS,2.0,GILCHRIST J,0 - 2,360,AUS,6:00
Turnover foul,4.0,2,2,0,AUS,2.0,CUCKOVIC U,0 - 2,329,MNE,5:29
Steal,3.0,2,2,0,AUS,2.0,FORD G,0 - 2,329,AUS,5:29
Action shot - Missed,6.0,2,2,0,AUS,2.0,GILCHRIST J,0 - 2,301,AUS,5:01
Turnover foul,3.0,2,2,0,AUS,2.0,PASKOVIC V,0 - 2,282,MNE,4:42
Steal,6.0,2,2,0,AUS,2.0,GILCHRIST J,0 - 2,282,AUS,4:42
5m shot - Saved,2.0,2,2,0,AUS,2.0,CAMPBELL R,0 - 2,254,AUS,4:14
Time-Out,,2,2,0,AUS,2.0,,0 - 2,250,MNE,4:10
5m shot - Goal,2.0,2,3,0,AUS,2.0,BRGULJAN D,0 - 3,231,MNE,3:51
Turnover foul,7.0,2,3,0,AUS,2.0,ROACH A,0 - 3,201,AUS,3:21
Steal,2.0,2,3,0,AUS,2.0,BRGULJAN D,0 - 3,201,MNE,3:21
Action shot - Saved,10.0,2,3,0,AUS,2.0,MURISIC N,0 - 3,174,MNE,2:54
Action shot - Goal,4.0,2,3,1,AUS,2.0,COTTERILL J,1 - 3,153,AUS,2:33
Turnover foul,5.0,2,3,1,AUS,2.0,BRGULJAN D,1 - 3,123,MNE,2:03
Turnover foul,8.0,2,3,1,AUS,2.0,YOUNGER A,1 - 3,106,AUS,1:46
Steal,13.0,2,3,1,AUS,2.0,SCEPANOVIC M,1 - 3,106,MNE,1:46
20 sec. exclusion in centre,10.0,2,3,1,AUS,2.0,EMERY M,1 - 3,87,AUS,1:27
Extra player shot - Post,12.0,2,3,1,AUS,2.0,JOKIC P,1 - 3,63,MNE,1:03
Time-Out,,2,3,1,AUS,2.0,,1 - 3,57,AUS,0:57
5m shot - Post,2.0,2,3,1,AUS,2.0,CAMPBELL R,1 - 3,32,AUS,0:32
Turnover foul,6.0,2,3,1,AUS,2.0,RADOVIC A,1 - 3,2,MNE,0:02
Steal,1.0,2,3,1,AUS,2.0,STANTON-FRENCH J,1 - 3,2,AUS,0:02
Starting goalkeeper,1.0,2,3,1,AUS,3.0,STANTON-FRENCH J,1 - 3,480,AUS,8:00
Starting goalkeeper,13.0,2,3,1,AUS,3.0,SCEPANOVIC M,1 - 3,480,MNE,8:00
Sprint won possession,11.0,2,3,1,AUS,3.0,HOWDEN R,1 - 3,480,AUS,8:00
5m shot - Goal,8.0,2,3,2,AUS,3.0,YOUNGER A,2 - 3,452,AUS,7:32
Turnover foul,5.0,2,3,2,AUS,3.0,BRGULJAN D,2 - 3,421,MNE,7:01
Steal,3.0,2,3,2,AUS,3.0,FORD G,2 - 3,421,AUS,7:01
Action shot - Saved,2.0,2,3,2,AUS,3.0,CAMPBELL R,2 - 3,397,AUS,6:37
20 sec. exclusion in centre,11.0,2,3,2,AUS,3.0,KLIKOVAC F,2 - 3,383,MNE,6:23
Action shot - Saved,6.0,2,3,2,AUS,3.0,GILCHRIST J,2 - 3,359,AUS,5:59
Turnover foul,5.0,2,3,2,AUS,3.0,BRGULJAN D,2 - 3,335,MNE,5:35
Steal,6.0,2,3,2,AUS,3.0,GILCHRIST J,2 - 3,335,AUS,5:35
Action shot - Blocked,2.0,2,3,2,AUS,3.0,CAMPBELL R,2 - 3,317,AUS,5:17
20 sec. exclusion in centre,9.0,2,3,2,AUS,3.0,SWIFT J,2 - 3,291,AUS,4:51
Extra player shot - Goal,5.0,2,4,2,AUS,3.0,BRGULJAN D,2 - 4,275,MNE,4:35
Turnover foul,2.0,2,4,2,AUS,3.0,CAMPBELL R,2 - 4,245,AUS,4:05
Steal,10.0,2,4,2,AUS,3.0,MURISIC N,2 - 4,245,MNE,4:05
5m shot - Blocked,2.0,2,4,2,AUS,3.0,BRGULJAN D,2 - 4,217,MNE,3:37
5m shot - Post,8.0,2,4,2,AUS,3.0,YOUNGER A,2 - 4,191,AUS,3:11
5m shot - Saved,7.0,2,4,2,AUS,3.0,JANOVIC M,2 - 4,169,MNE,2:49
20 sec. exclusion in field,5.0,2,4,2,AUS,3.0,POWER N,2 - 4,154,AUS,2:34
Extra player shot - Saved,11.0,2,4,2,AUS,3.0,KLIKOVAC F,2 - 4,136,MNE,2:16
5m shot - Missed,3.0,2,4,2,AUS,3.0,FORD G,2 - 4,107,AUS,1:47
Centre shot - Saved,9.0,2,4,2,AUS,3.0,IVOVIC A,2 - 4,87,MNE,1:27
Time-Out,,2,4,2,AUS,3.0,,2 - 4,55,MNE,0:55
5m shot - Saved,9.0,2,4,2,AUS,3.0,IVOVIC A,2 - 4,28,MNE,0:28
Time-Out,,2,4,2,AUS,3.0,,2 - 4,28,AUS,0:28
20 sec. exclusion in centre,9.0,2,4,2,AUS,3.0,IVOVIC A,2 - 4,0,MNE,0:00
