Action,Cap,Game,MNE,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Action shot,9.0,2,2,0,AUS,2.0,SWIFT J,0 - 2,452,AUS,7:32,Saved,0
Action shot,3.0,2,2,0,AUS,2.0,PASKOVIC V,0 - 2,443,MNE,7:23,Missed,0
5m shot,6.0,2,2,0,AUS,2.0,GILCHRIST J,0 - 2,360,AUS,6:00,Missed,0
Action shot,6.0,2,2,0,AUS,2.0,GILCHRIST J,0 - 2,301,AUS,5:01,Missed,0
5m shot,2.0,2,2,0,AUS,2.0,CAMPBELL R,0 - 2,254,AUS,4:14,Saved,0
5m shot,2.0,2,3,0,AUS,2.0,BRGULJAN D,0 - 3,231,MNE,3:51,Goal,1
Action shot,10.0,2,3,0,AUS,2.0,MURISIC N,0 - 3,174,MNE,2:54,Saved,0
Action shot,4.0,2,3,1,AUS,2.0,COTTERILL J,1 - 3,153,AUS,2:33,Goal,1
Extra player shot,12.0,2,3,1,AUS,2.0,JOKIC P,1 - 3,63,MNE,1:03,Post,0
5m shot,2.0,2,3,1,AUS,2.0,CAMPBELL R,1 - 3,32,AUS,0:32,Post,0
5m shot,8.0,2,3,2,AUS,3.0,YOUNGER A,2 - 3,452,AUS,7:32,Goal,1
Action shot,2.0,2,3,2,AUS,3.0,CAMPBELL R,2 - 3,397,AUS,6:37,Saved,0
Action shot,6.0,2,3,2,AUS,3.0,GILCHRIST J,2 - 3,359,AUS,5:59,Saved,0
Action shot,2.0,2,3,2,AUS,3.0,CAMPBELL R,2 - 3,317,AUS,5:17,Blocked,0
Extra player shot,5.0,2,4,2,AUS,3.0,BRGULJAN D,2 - 4,275,MNE,4:35,Goal,1
5m shot,2.0,2,4,2,AUS,3.0,BRGULJAN D,2 - 4,217,MNE,3:37,Blocked,0
5m shot,8.0,2,4,2,AUS,3.0,YOUNGER A,2 - 4,191,AUS,3:11,Post,0
5m shot,7.0,2,4,2,AUS,3.0,JANOVIC M,2 - 4,169,MNE,2:49,Saved,0
Extra player shot,11.0,2,4,2,AUS,3.0,KLIKOVAC F,2 - 4,136,MNE,2:16,Saved,0
5m shot,3.0,2,4,2,AUS,3.0,FORD G,2 - 4,107,AUS,1:47,Missed,0
Centre shot,9.0,2,4,2,AUS,3.0,IVOVIC A,2 - 4,87,MNE,1:27,Saved,0
5m shot,9.0,2,4,2,AUS,3.0,IVOVIC A,2 - 4,28,MNE,0:28,Saved,0
Action shot,8.0,2,4,3,AUS,4.0,YOUNGER A,3 - 4,463,AUS,7:43,Goal,1
Action shot,7.0,2,4,3,AUS,4.0,JANOVIC M,3 - 4,435,MNE,7:15,Saved,0
Action shot,7.0,2,4,4,AUS,4.0,ROACH A,4 - 4,415,AUS,6:55,Goal,1
Action shot,5.0,2,4,4,AUS,4.0,BRGULJAN D,4 - 4,392,MNE,6:32,Saved,0
Extra player shot,8.0,2,4,5,AUS,4.0,YOUNGER A,5 - 4,353,AUS,5:53,Goal,1
5m shot,6.0,2,4,5,AUS,4.0,RADOVIC A,5 - 4,328,MNE,5:28,Saved,0
5m shot,7.0,2,4,5,AUS,4.0,ROACH A,5 - 4,290,AUS,4:50,Missed,0
5m shot,6.0,2,4,5,AUS,4.0,RADOVIC A,5 - 4,265,MNE,4:25,Saved,0
Action shot,2.0,2,4,5,AUS,4.0,CAMPBELL R,5 - 4,239,AUS,3:59,Blocked,0
Action shot,8.0,2,4,5,AUS,4.0,YOUNGER A,5 - 4,211,AUS,3:31,Saved,0
5m shot,6.0,2,4,5,AUS,4.0,RADOVIC A,5 - 4,158,MNE,2:38,Blocked,0
5m shot,9.0,2,4,5,AUS,4.0,IVOVIC A,5 - 4,109,MNE,1:49,Blocked,0
5m shot,8.0,2,4,5,AUS,4.0,YOUNGER A,5 - 4,82,AUS,1:22,Post,0
5m shot,7.0,2,5,5,AUS,4.0,JANOVIC M,5 - 5,22,MNE,0:22,Goal,1
Extra player shot,6.0,3,1,0,JPN,1.0,RADOVIC A,0 - 1,441,MNE,7:21,Goal,1
Action shot,12.0,3,1,0,JPN,1.0,HAZUI S,0 - 1,411,JPN,6:51,Saved,0
Action shot,5.0,3,1,0,JPN,1.0,BRGULJAN D,0 - 1,394,MNE,6:34,Saved,0
Extra player shot,9.0,3,1,0,JPN,1.0,TAKEI K,0 - 1,329,JPN,5:29,Post,0
5m shot,11.0,3,1,0,JPN,1.0,OKAWA K,0 - 1,300,JPN,5:00,Missed,0
Extra player shot,3.0,3,2,0,JPN,1.0,PASKOVIC V,0 - 2,285,MNE,4:45,Goal,1
Penalty shot,9.0,3,2,1,JPN,1.0,TAKEI K,1 - 2,263,JPN,4:23,Goal,1
Counter attack,4.0,3,2,1,JPN,1.0,SHIGA M,1 - 2,151,JPN,2:31,Post,0
Action shot,12.0,3,3,1,JPN,1.0,JOKIC P,1 - 3,123,MNE,2:03,Goal,1
Action shot,6.0,3,3,1,JPN,1.0,RADOVIC A,1 - 3,70,MNE,1:10,Post,0
Penalty shot,9.0,3,3,2,JPN,1.0,TAKEI K,2 - 3,42,JPN,0:42,Goal,1
5m shot,4.0,3,3,2,JPN,1.0,CUCKOVIC U,2 - 3,11,MNE,0:11,Post,0
5m shot,2.0,3,3,2,JPN,1.0,ADACHI S,2 - 3,0,JPN,0:00,Missed,0
Penalty shot,6.0,3,4,2,JPN,2.0,RADOVIC A,2 - 4,461,MNE,7:41,Goal,1
Action shot,9.0,3,5,2,JPN,2.0,IVOVIC A,2 - 5,416,MNE,6:56,Goal,1
5m shot,9.0,3,5,2,JPN,2.0,TAKEI K,2 - 5,391,JPN,6:31,Saved,0
Action shot,11.0,3,6,2,JPN,2.0,KLIKOVAC F,2 - 6,368,MNE,6:08,Goal,1
Action shot,11.0,3,6,2,JPN,2.0,KLIKOVAC F,2 - 6,330,MNE,5:30,Saved,0
Action shot,3.0,3,6,2,JPN,2.0,PASKOVIC V,2 - 6,288,MNE,4:48,Saved,0
Extra player shot,12.0,3,6,2,JPN,2.0,HAZUI S,2 - 6,252,JPN,4:12,Saved,0
5m shot,12.0,3,6,2,JPN,2.0,JOKIC P,2 - 6,206,MNE,3:26,Saved,0
5m shot,11.0,3,6,2,JPN,2.0,OKAWA K,2 - 6,156,JPN,2:36,Saved,0
