Action,Cap,Game,Opponent,Opponent name,Period,Player,RUS,Score,Seconds,Team,Time
Turnover foul,10.0,4,3,RSA,4.0,BELIAEVA O,18,18 - 3,462,RUS,7:42
5m shot - Blocked,10.0,4,3,RSA,4.0,KEET M,18,18 - 3,437,RSA,7:17
Centre shot - Post,10.0,4,3,RSA,4.0,BELIAEVA O,18,18 - 3,393,RUS,6:33
Centre shot - Goal,10.0,4,3,RSA,4.0,BELIAEVA O,19,19 - 3,392,RUS,6:32
Centre shot - Saved,3.0,4,3,RSA,4.0,PALEY K,19,19 - 3,367,RSA,6:07
Action shot - Goal,11.0,4,3,RSA,4.0,IVANOVA E,20,20 - 3,346,RUS,5:46
Turnover foul,3.0,4,3,RSA,4.0,PALEY K,20,20 - 3,324,RSA,5:24
Steal,5.0,4,3,RSA,4.0,ANTONOVA A,20,20 - 3,324,RUS,5:24
Action shot - Goal,5.0,4,3,RSA,4.0,ANTONOVA A,21,21 - 3,304,RUS,5:04
Action shot - Saved,6.0,4,3,RSA,4.0,SCHOOLING T,21,21 - 3,279,RSA,4:39
Action shot - Saved,5.0,4,3,RSA,4.0,ANTONOVA A,21,21 - 3,250,RUS,4:10
Action shot - Saved,6.0,4,3,RSA,4.0,SCHOOLING T,21,21 - 3,224,RSA,3:44
Turnover foul,8.0,4,3,RSA,4.0,KEET L,21,21 - 3,214,RSA,3:34
Counter attack - Goal,4.0,4,3,RSA,4.0,KARIMOVA E,22,22 - 3,204,RUS,3:24
5m shot - Missed,12.0,4,3,RSA,4.0,WHITE K,22,22 - 3,182,RSA,3:02
Penalty foul,8.0,4,3,RSA,4.0,KEET L,22,22 - 3,167,RSA,2:47
Penalty shot - Post,3.0,4,3,RSA,4.0,PROKOFYEVA E,22,22 - 3,167,RUS,2:47
Centre shot - Missed,8.0,4,3,RSA,4.0,KEET L,22,22 - 3,143,RSA,2:23
Action shot - Post,6.0,4,3,RSA,4.0,BELOVA O,22,22 - 3,120,RUS,2:00
Turnover foul,9.0,4,3,RSA,4.0,TIMOFEEVA A,22,22 - 3,68,RUS,1:08
Time-Out,,4,3,RSA,4.0,,22,22 - 3,39,RUS,0:39
Time-Out,,4,3,RSA,4.0,,22,22 - 3,17,RSA,0:17
20 sec. exclusion in field,3.0,4,3,RSA,4.0,PROKOFYEVA E,22,22 - 3,14,RUS,0:14
Starting goalkeeper,1.0,5,0,CAN,1.0,RELTON M,0,0 - 0,480,CAN,8:00
Starting goalkeeper,13.0,5,0,CAN,1.0,KARNAUKH A,0,0 - 0,480,RUS,8:00
Sprint won possession,3.0,5,0,CAN,1.0,PROKOFYEVA E,0,0 - 0,480,RUS,8:00
5m shot - Goal,3.0,5,0,CAN,1.0,PROKOFYEVA E,1,1 - 0,457,RUS,7:37
Turnover foul,10.0,5,0,CAN,1.0,ROBINSON C,1,1 - 0,439,CAN,7:19
Steal,11.0,5,0,CAN,1.0,IVANOVA E,1,1 - 0,439,RUS,7:19
Counter attack - Goal,11.0,5,0,CAN,1.0,IVANOVA E,2,2 - 0,430,RUS,7:10
Action shot - Missed,5.0,5,0,CAN,1.0,EGGENS M,2,2 - 0,408,CAN,6:48
Turnover foul,6.0,5,0,CAN,1.0,BELOVA O,2,2 - 0,387,RUS,6:27
Steal,5.0,5,0,CAN,1.0,EGGENS M,2,2 - 0,387,CAN,6:27
Action shot - Post,7.0,5,0,CAN,1.0,BEKHAZI J,2,2 - 0,359,CAN,5:59
5m shot - Goal,11.0,5,0,CAN,1.0,IVANOVA E,3,3 - 0,335,RUS,5:35
Turnover foul,4.0,5,0,CAN,1.0,WRIGHT E,3,3 - 0,319,CAN,5:19
Steal,3.0,5,0,CAN,1.0,PROKOFYEVA E,3,3 - 0,319,RUS,5:19
5m shot - Missed,5.0,5,0,CAN,1.0,ANTONOVA A,3,3 - 0,303,RUS,5:03
20 sec. exclusion in field,3.0,5,0,CAN,1.0,PROKOFYEVA E,3,3 - 0,297,RUS,4:57
5m shot - Saved,5.0,5,0,CAN,1.0,EGGENS M,3,3 - 0,268,CAN,4:28
Turnover foul,3.0,5,0,CAN,1.0,MONTON K,3,3 - 0,252,CAN,4:12
Steal,12.0,5,0,CAN,1.0,ZELENTSOVA E,3,3 - 0,252,RUS,4:12
Turnover foul,10.0,5,0,CAN,1.0,BELIAEVA O,3,3 - 0,239,RUS,3:59
Action shot - Post,5.0,5,0,CAN,1.0,EGGENS M,3,3 - 0,221,CAN,3:41
Action shot - Saved,11.0,5,0,CAN,1.0,IVANOVA E,3,3 - 0,198,RUS,3:18
Centre shot - Goal,3.0,5,1,CAN,1.0,MONTON K,3,3 - 1,181,CAN,3:01
Centre shot - Saved,7.0,5,1,CAN,1.0,TANKEEVA E,3,3 - 1,162,RUS,2:42
Action shot - Post,9.0,5,1,CAN,1.0,EGGENS C,3,3 - 1,134,CAN,2:14
Action shot - Saved,8.0,5,1,CAN,1.0,PERREAULT D,3,3 - 1,116,CAN,1:56
Counter attack - Goal,3.0,5,1,CAN,1.0,PROKOFYEVA E,4,4 - 1,100,RUS,1:40
Action shot - Goal,7.0,5,2,CAN,1.0,BEKHAZI J,4,4 - 2,73,CAN,1:13
20 sec. exclusion in centre,12.0,5,2,CAN,1.0,RADU M,4,4 - 2,47,CAN,0:47
Extra player shot - Goal,6.0,5,2,CAN,1.0,BELOVA O,5,5 - 2,27,RUS,0:27
Turnover foul,2.0,5,2,CAN,1.0,ALOGBO K,5,5 - 2,12,CAN,0:12
5m shot - Saved,3.0,5,2,CAN,1.0,PROKOFYEVA E,5,5 - 2,4,RUS,0:04
Starting goalkeeper,13.0,5,2,CAN,2.0,KARNAUKH A,5,5 - 2,480,RUS,8:00
Starting goalkeeper,1.0,5,2,CAN,2.0,RELTON M,5,5 - 2,480,CAN,8:00
Sprint won possession,3.0,5,2,CAN,2.0,PROKOFYEVA E,5,5 - 2,480,RUS,8:00
20 sec. exclusion in centre,10.0,5,2,CAN,2.0,ROBINSON C,5,5 - 2,458,CAN,7:38
Extra player shot - Goal,5.0,5,2,CAN,2.0,ANTONOVA A,6,6 - 2,443,RUS,7:23
Action shot - Post,7.0,5,2,CAN,2.0,BEKHAZI J,6,6 - 2,414,CAN,6:54
5m shot - Missed,3.0,5,2,CAN,2.0,PROKOFYEVA E,6,6 - 2,384,RUS,6:24
Turnover foul,8.0,5,2,CAN,2.0,PERREAULT D,6,6 - 2,368,CAN,6:08
Steal,3.0,5,2,CAN,2.0,PROKOFYEVA E,6,6 - 2,368,RUS,6:08
Turnover foul,10.0,5,2,CAN,2.0,BELIAEVA O,6,6 - 2,350,RUS,5:50
Turnover foul,9.0,5,2,CAN,2.0,EGGENS C,6,6 - 2,328,CAN,5:28
Steal,3.0,5,2,CAN,2.0,PROKOFYEVA E,6,6 - 2,328,RUS,5:28
20 sec. exclusion in field,9.0,5,2,CAN,2.0,EGGENS C,6,6 - 2,325,CAN,5:25
Extra player shot - Goal,10.0,5,2,CAN,2.0,BELIAEVA O,7,7 - 2,305,RUS,5:05
Action shot - Blocked,5.0,5,2,CAN,2.0,EGGENS M,7,7 - 2,275,CAN,4:35
Action shot - Post,5.0,5,2,CAN,2.0,ANTONOVA A,7,7 - 2,249,RUS,4:09
Turnover foul,11.0,5,2,CAN,2.0,VALIN S,7,7 - 2,235,CAN,3:55
Steal,6.0,5,2,CAN,2.0,BELOVA O,7,7 - 2,235,RUS,3:55
Action shot - Blocked,6.0,5,2,CAN,2.0,BELOVA O,7,7 - 2,210,RUS,3:30
Action shot - Goal,4.0,5,3,CAN,2.0,WRIGHT E,7,7 - 3,184,CAN,3:04
Centre shot - Goal,7.0,5,3,CAN,2.0,TANKEEVA E,8,8 - 3,163,RUS,2:43
Action shot - Blocked,7.0,5,3,CAN,2.0,BEKHAZI J,8,8 - 3,139,CAN,2:19
Centre shot - Saved,12.0,5,3,CAN,2.0,ZELENTSOVA E,8,8 - 3,126,RUS,2:06
5m shot - Post,10.0,5,3,CAN,2.0,ROBINSON C,8,8 - 3,97,CAN,1:37
20 sec. exclusion in centre,3.0,5,3,CAN,2.0,MONTON K,8,8 - 3,75,CAN,1:15
Extra player shot - Saved,10.0,5,3,CAN,2.0,BELIAEVA O,8,8 - 3,60,RUS,1:00
Turnover foul,10.0,5,3,CAN,2.0,ROBINSON C,8,8 - 3,35,CAN,0:35
5m shot - Blocked,3.0,5,3,CAN,2.0,PROKOFYEVA E,8,8 - 3,10,RUS,0:10
Starting goalkeeper,13.0,5,3,CAN,3.0,KARNAUKH A,8,8 - 3,480,RUS,8:00
Starting goalkeeper,1.0,5,3,CAN,3.0,RELTON M,8,8 - 3,480,CAN,8:00
Sprint won possession,8.0,5,3,CAN,3.0,PERREAULT D,8,8 - 3,480,CAN,8:00
20 sec. exclusion in field,4.0,5,3,CAN,3.0,KARIMOVA E,8,8 - 3,465,RUS,7:45
Extra player shot - Goal,5.0,5,4,CAN,3.0,EGGENS M,8,8 - 4,452,CAN,7:32
Action shot - Saved,12.0,5,4,CAN,3.0,ZELENTSOVA E,8,8 - 4,428,RUS,7:08
20 sec. exclusion in field,4.0,5,4,CAN,3.0,WRIGHT E,8,8 - 4,426,CAN,7:06
Extra player shot - Goal,10.0,5,4,CAN,3.0,BELIAEVA O,9,9 - 4,407,RUS,6:47
Turnover foul,2.0,5,4,CAN,3.0,ALOGBO K,9,9 - 4,381,CAN,6:21
Steal,13.0,5,4,CAN,3.0,KARNAUKH A,9,9 - 4,381,RUS,6:21
Turnover foul,10.0,5,4,CAN,3.0,BELIAEVA O,9,9 - 4,356,RUS,5:56
Steal,1.0,5,4,CAN,3.0,RELTON M,9,9 - 4,356,CAN,5:56
Turnover foul,2.0,5,4,CAN,3.0,ALOGBO K,9,9 - 4,340,CAN,5:40
Counter attack - Goal,6.0,5,4,CAN,3.0,BELOVA O,10,10 - 4,331,RUS,5:31
Turnover foul,3.0,5,4,CAN,3.0,MONTON K,10,10 - 4,315,CAN,5:15
Steal,12.0,5,4,CAN,3.0,ZELENTSOVA E,10,10 - 4,315,RUS,5:15
Action shot - Blocked,4.0,5,4,CAN,3.0,KARIMOVA E,10,10 - 4,288,RUS,4:48
Penalty foul,12.0,5,4,CAN,3.0,ZELENTSOVA E,10,10 - 4,268,RUS,4:28
Penalty shot - Goal,7.0,5,5,CAN,3.0,BEKHAZI J,10,10 - 5,268,CAN,4:28
Time-Out,,5,5,CAN,3.0,,10,10 - 5,253,RUS,4:13
5m shot - Saved,8.0,5,5,CAN,3.0,GRINEVA A,10,10 - 5,239,RUS,3:59
5m shot - Goal,11.0,5,5,CAN,3.0,IVANOVA E,11,11 - 5,221,RUS,3:41
Centre shot - Goal,3.0,5,6,CAN,3.0,MONTON K,11,11 - 6,192,CAN,3:12
5m shot - Goal,5.0,5,6,CAN,3.0,ANTONOVA A,12,12 - 6,164,RUS,2:44
20 sec. exclusion in centre,10.0,5,6,CAN,3.0,BELIAEVA O,12,12 - 6,147,RUS,2:27
Time-Out,,5,6,CAN,3.0,,12,12 - 6,147,CAN,2:27
Extra player shot - Saved,7.0,5,6,CAN,3.0,BEKHAZI J,12,12 - 6,129,CAN,2:09
Action shot - Missed,5.0,5,6,CAN,3.0,EGGENS M,12,12 - 6,120,CAN,2:00
Action shot - Blocked,2.0,5,6,CAN,3.0,ANTONOVA D,12,12 - 6,93,RUS,1:33
Turnover foul,10.0,5,6,CAN,3.0,ROBINSON C,12,12 - 6,75,CAN,1:15
Steal,5.0,5,6,CAN,3.0,ANTONOVA A,12,12 - 6,75,RUS,1:15
20 sec. exclusion in field,4.0,5,6,CAN,3.0,WRIGHT E,12,12 - 6,59,CAN,0:59
Turnover foul,3.0,5,6,CAN,3.0,PROKOFYEVA E,12,12 - 6,32,RUS,0:32
Steal,11.0,5,6,CAN,3.0,VALIN S,12,12 - 6,32,CAN,0:32
Counter attack - Goal,7.0,5,7,CAN,3.0,BEKHAZI J,12,12 - 7,17,CAN,0:17
Starting goalkeeper,13.0,5,7,CAN,4.0,KARNAUKH A,12,12 - 7,480,RUS,8:00
Starting goalkeeper,1.0,5,7,CAN,4.0,RELTON M,12,12 - 7,480,CAN,8:00
Sprint won possession,8.0,5,7,CAN,4.0,PERREAULT D,12,12 - 7,480,CAN,8:00
Turnover foul,3.0,5,7,CAN,4.0,MONTON K,12,12 - 7,453,CAN,7:33
Steal,11.0,5,7,CAN,4.0,IVANOVA E,12,12 - 7,453,RUS,7:33
Action shot - Post,5.0,5,7,CAN,4.0,ANTONOVA A,12,12 - 7,426,RUS,7:06
Action shot - Goal,3.0,5,7,CAN,4.0,PROKOFYEVA E,13,13 - 7,376,RUS,6:16
Centre shot - Goal,2.0,5,8,CAN,4.0,ALOGBO K,13,13 - 8,363,CAN,6:03
Centre shot - Post,6.0,5,8,CAN,4.0,BELOVA O,13,13 - 8,346,RUS,5:46
Turnover foul,6.0,5,8,CAN,4.0,BARON la SALLE S,13,13 - 8,324,CAN,5:24
Steal,13.0,5,8,CAN,4.0,KARNAUKH A,13,13 - 8,324,RUS,5:24
Turnover foul,7.0,5,8,CAN,4.0,TANKEEVA E,13,13 - 8,298,RUS,4:58
5m shot - Saved,11.0,5,8,CAN,4.0,VALIN S,13,13 - 8,272,CAN,4:32
20 sec. exclusion in centre,12.0,5,8,CAN,4.0,RADU M,13,13 - 8,249,CAN,4:09
Extra player shot - Goal,11.0,5,8,CAN,4.0,IVANOVA E,14,14 - 8,233,RUS,3:53
5m shot - Post,5.0,5,8,CAN,4.0,EGGENS M,14,14 - 8,217,CAN,3:37
20 sec. exclusion in centre,9.0,5,8,CAN,4.0,EGGENS C,14,14 - 8,191,CAN,3:11
Extra player shot - Saved,3.0,5,8,CAN,4.0,PROKOFYEVA E,14,14 - 8,182,RUS,3:02
Extra player shot - Goal,4.0,5,8,CAN,4.0,KARIMOVA E,15,15 - 8,180,RUS,3:00
Goalkeeper substitution,1.0,5,8,CAN,4.0,USTYUKHINA A,15,15 - 8,180,RUS,3:00
20 sec. exclusion in centre,12.0,5,8,CAN,4.0,ZELENTSOVA E,15,15 - 8,166,RUS,2:46
Extra player shot - Blocked,12.0,5,8,CAN,4.0,RADU M,15,15 - 8,149,CAN,2:29
Action shot - Goal,7.0,5,9,CAN,4.0,BEKHAZI J,15,15 - 9,142,CAN,2:22
5m shot - Goal,3.0,5,9,CAN,4.0,PROKOFYEVA E,16,16 - 9,117,RUS,1:57
Centre shot - Saved,6.0,5,9,CAN,4.0,BARON la SALLE S,16,16 - 9,95,CAN,1:35
Centre shot - Goal,4.0,5,9,CAN,4.0,KARIMOVA E,17,17 - 9,68,RUS,1:08
5m shot - Blocked,5.0,5,9,CAN,4.0,EGGENS M,17,17 - 9,49,CAN,0:49
5m shot - Missed,12.0,5,9,CAN,4.0,ZELENTSOVA E,17,17 - 9,26,RUS,0:26
5m shot - Missed,5.0,5,9,CAN,4.0,EGGENS M,17,17 - 9,2,CAN,0:02
Starting goalkeeper,13.0,6,0,AUS,1.0,WAKEFIELD K,0,0 - 0,480,AUS,8:00
Starting goalkeeper,13.0,6,0,AUS,1.0,KARNAUKH A,0,0 - 0,480,RUS,8:00
Sprint won possession,12.0,6,0,AUS,1.0,ZAGAME N,0,0 - 0,480,AUS,8:00
Action shot - Missed,7.0,6,0,AUS,1.0,WEBSTER R,0,0 - 0,453,AUS,7:33
Turnover foul,10.0,6,0,AUS,1.0,BELIAEVA O,0,0 - 0,438,RUS,7:18
Turnover foul,4.0,6,0,AUS,1.0,LINCOLN-SMITH H,0,0 - 0,423,AUS,7:03
Steal,11.0,6,0,AUS,1.0,IVANOVA E,0,0 - 0,423,RUS,7:03
5m shot - Missed,3.0,6,0,AUS,1.0,PROKOFYEVA E,0,0 - 0,393,RUS,6:33
Turnover foul,12.0,6,0,AUS,1.0,ZAGAME N,0,0 - 0,380,AUS,6:20
Action shot - Blocked,6.0,6,0,AUS,1.0,BELOVA O,0,0 - 0,364,RUS,6:04
Turnover foul,6.0,6,0,AUS,1.0,BELOVA O,0,0 - 0,348,RUS,5:48
Steal,7.0,6,0,AUS,1.0,WEBSTER R,0,0 - 0,348,AUS,5:48
Action shot - Saved,7.0,6,0,AUS,1.0,WEBSTER R,0,0 - 0,320,AUS,5:20
5m shot - Goal,11.0,6,0,AUS,1.0,IVANOVA E,1,1 - 0,304,RUS,5:04
