Action,Cap,Game,Opponent,Opponent name,Period,Player,SRB,Score,Seconds,Team,Time,Result,Goal
5m shot,11.0,6,4,CRO,3.0,PRLAINOVIC A,7,4 - 7,13,SRB,0:13,Missed,0
Counter attack,9.0,6,4,CRO,3.0,SUKNO S,7,4 - 7,4,CRO,0:04,Saved,0
Action shot,2.0,6,4,CRO,3.0,BURIC D,7,4 - 7,1,CRO,0:01,Missed,0
Action shot,11.0,6,4,CRO,4.0,PRLAINOVIC A,7,4 - 7,428,SRB,7:08,Saved,0
5m shot,7.0,6,4,CRO,4.0,MUSLIM P,7,4 - 7,382,CRO,6:22,Blocked,0
Extra player shot,6.0,6,4,CRO,4.0,PIJETLOVIC D,8,4 - 8,359,SRB,5:59,Goal,1
Extra player shot,2.0,6,4,CRO,4.0,BURIC D,8,4 - 8,328,CRO,5:28,Saved,0
Extra player shot,11.0,6,4,CRO,4.0,PRLAINOVIC A,9,4 - 9,288,SRB,4:48,Goal,1
Action shot,3.0,6,4,CRO,4.0,PETKOVIC A,9,4 - 9,260,CRO,4:20,Saved,0
5m shot,4.0,6,4,CRO,4.0,RANDELOVIC S,9,4 - 9,235,SRB,3:55,Saved,0
5m shot,9.0,6,4,CRO,4.0,SUKNO S,9,4 - 9,190,CRO,3:10,Post,0
5m shot,9.0,6,4,CRO,4.0,SUKNO S,9,4 - 9,159,CRO,2:39,Blocked,0
5m shot,8.0,6,4,CRO,4.0,ALEKSIC M,10,4 - 10,130,SRB,2:10,Goal,1
Extra player shot,3.0,6,4,CRO,4.0,PETKOVIC A,10,4 - 10,99,CRO,1:39,Missed,0
Action shot,9.0,6,4,CRO,4.0,JAKSIC N,11,4 - 11,25,SRB,0:25,Goal,1
