Action,Cap,Game,NZL,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Action shot,11.0,3,0,3,USA,1.0,FISCHER M,0 - 3,274,USA,4:34,Goal,1
5m shot,12.0,3,0,4,USA,1.0,WILLIAMS A,0 - 4,234,USA,3:54,Goal,1
Action shot,9.0,3,1,4,USA,1.0,STONEMAN E,1 - 4,210,NZL,3:30,Goal,1
Action shot,12.0,3,1,4,USA,1.0,WILLIAMS A,1 - 4,181,USA,3:01,Post,0
5m shot,12.0,3,1,4,USA,1.0,WILLIAMS A,1 - 4,140,USA,2:20,Saved,0
5m shot,6.0,3,1,5,USA,1.0,STEFFENS M,1 - 5,125,USA,2:05,Goal,1
5m shot,3.0,3,1,5,USA,1.0,MASON K,1 - 5,86,NZL,1:26,Blocked,0
5m shot,4.0,3,1,6,USA,1.0,FATTAL R,1 - 6,35,USA,0:35,Goal,1
Extra player shot,8.0,3,2,6,USA,1.0,LOPES da SILVA C,2 - 6,3,NZL,0:03,Goal,1
5m shot,3.0,3,2,6,USA,1.0,SEIDEMANN M,2 - 6,1,USA,0:01,Missed,0
5m shot,6.0,3,2,7,USA,2.0,STEFFENS M,2 - 7,415,USA,6:55,Goal,1
Extra player shot,12.0,3,3,7,USA,2.0,PYE B,3 - 7,380,NZL,6:20,Goal,1
Action shot,2.0,3,3,8,USA,2.0,MUSSELMAN M,3 - 8,351,USA,5:51,Goal,1
Action shot,2.0,3,3,9,USA,2.0,MUSSELMAN M,3 - 9,303,USA,5:03,Goal,1
Action shot,9.0,3,3,9,USA,2.0,FISCHER A,3 - 9,244,USA,4:04,Saved,0
Action shot,2.0,3,3,10,USA,2.0,MUSSELMAN M,3 - 10,196,USA,3:16,Goal,1
5m shot,7.0,3,3,11,USA,2.0,RANEY J,3 - 11,137,USA,2:17,Goal,1
Action shot,5.0,3,3,12,USA,2.0,HAUSCHILD P,3 - 12,61,USA,1:01,Goal,1
Extra player shot,12.0,3,3,12,USA,2.0,PYE B,3 - 12,44,NZL,0:44,Missed,0
Action shot,3.0,3,3,12,USA,2.0,SEIDEMANN M,3 - 12,5,USA,0:05,Post,0
Action shot,5.0,3,3,12,USA,3.0,HAUSCHILD P,3 - 12,451,USA,7:31,Saved,0
Action shot,11.0,3,3,13,USA,3.0,FISCHER M,3 - 13,392,USA,6:32,Goal,1
Extra player shot,12.0,3,4,13,USA,3.0,PYE B,4 - 13,349,NZL,5:49,Goal,1
Action shot,2.0,3,4,14,USA,3.0,MUSSELMAN M,4 - 14,332,USA,5:32,Goal,1
5m shot,9.0,3,5,14,USA,3.0,STONEMAN E,5 - 14,310,NZL,5:10,Goal,1
5m shot,7.0,3,5,14,USA,3.0,RANEY J,5 - 14,281,USA,4:41,Missed,0
Extra player shot,7.0,3,5,15,USA,3.0,RANEY J,5 - 15,227,USA,3:47,Goal,1
Counter attack,9.0,3,5,16,USA,3.0,FISCHER A,5 - 16,130,USA,2:10,Goal,1
Action shot,9.0,3,5,17,USA,3.0,FISCHER A,5 - 17,79,USA,1:19,Goal,1
5m shot,3.0,3,5,17,USA,3.0,MASON K,5 - 17,33,NZL,0:33,Blocked,0
Action shot,8.0,3,5,18,USA,3.0,NEUSHUL K,5 - 18,19,USA,0:19,Goal,1
5m shot,9.0,3,5,18,USA,3.0,STONEMAN E,5 - 18,1,NZL,0:01,Saved,0
Extra player shot,6.0,3,5,19,USA,4.0,STEFFENS M,5 - 19,445,USA,7:25,Goal,1
5m shot,8.0,3,5,19,USA,4.0,LOPES da SILVA C,5 - 19,400,NZL,6:40,Missed,0
Extra player shot,2.0,3,5,19,USA,4.0,LEWIS N,5 - 19,328,NZL,5:28,Missed,0
5m shot,2.0,3,5,19,USA,4.0,MUSSELMAN M,5 - 19,282,USA,4:42,Post,0
5m shot,11.0,3,5,19,USA,4.0,HUDSON K,5 - 19,254,NZL,4:14,Saved,0
Extra player shot,4.0,3,5,20,USA,4.0,FATTAL R,5 - 20,228,USA,3:48,Goal,1
5m shot,7.0,3,5,20,USA,4.0,HOUGHTON E,5 - 20,208,NZL,3:28,Blocked,0
Counter attack,12.0,3,5,20,USA,4.0,WILLIAMS A,5 - 20,195,USA,3:15,Saved,0
Extra player shot,12.0,3,5,20,USA,4.0,PYE B,5 - 20,154,NZL,2:34,Saved,0
5m shot,3.0,3,6,20,USA,4.0,MASON K,6 - 20,142,NZL,2:22,Goal,1
Action shot,11.0,3,7,20,USA,4.0,HUDSON K,7 - 20,80,NZL,1:20,Goal,1
Action shot,10.0,3,7,21,USA,4.0,NEUSHUL J,7 - 21,47,USA,0:47,Goal,1
5m shot,3.0,3,7,21,USA,4.0,MASON K,7 - 21,16,NZL,0:16,Blocked,0
Extra player shot,6.0,3,7,22,USA,4.0,STEFFENS M,7 - 22,7,USA,0:07,Goal,1
5m shot,3.0,3,7,22,USA,4.0,MASON K,7 - 22,1,NZL,0:01,Saved,0
Centre shot,10.0,4,0,0,CAN,1.0,ROBINSON C,0 - 0,451,CAN,7:31,Saved,0
Centre shot,4.0,4,0,1,CAN,1.0,WRIGHT E,1 - 0,398,CAN,6:38,Goal,1
Action shot,11.0,4,0,1,CAN,1.0,HUDSON K,1 - 0,368,NZL,6:08,Saved,0
Extra player shot,7.0,4,0,2,CAN,1.0,BEKHAZI J,2 - 0,336,CAN,5:36,Goal,1
5m shot,3.0,4,0,2,CAN,1.0,MASON K,2 - 0,312,NZL,5:12,Blocked,0
5m shot,4.0,4,0,2,CAN,1.0,WRIGHT E,2 - 0,284,CAN,4:44,Missed,0
5m shot,12.0,4,0,2,CAN,1.0,PYE B,2 - 0,255,NZL,4:15,Post,0
Centre shot,5.0,4,0,3,CAN,1.0,EGGENS M,3 - 0,240,CAN,4:00,Goal,1
Action shot,7.0,4,0,3,CAN,1.0,HOUGHTON E,3 - 0,210,NZL,3:30,Blocked,0
Counter attack,7.0,4,0,4,CAN,1.0,BEKHAZI J,4 - 0,198,CAN,3:18,Goal,1
Action shot,7.0,4,0,4,CAN,1.0,HOUGHTON E,4 - 0,171,NZL,2:51,Blocked,0
Extra player shot,4.0,4,0,4,CAN,1.0,WRIGHT E,4 - 0,113,CAN,1:53,Saved,0
5m shot,9.0,4,0,4,CAN,1.0,STONEMAN E,4 - 0,86,NZL,1:26,Post,0
5m shot,5.0,4,0,4,CAN,1.0,EGGENS M,4 - 0,61,CAN,1:01,Post,0
Action shot,8.0,4,1,4,CAN,1.0,LOPES da SILVA C,4 - 1,37,NZL,0:37,Goal,1
Centre shot,8.0,4,1,5,CAN,1.0,LEMAY-LAVOIE E,5 - 1,10,CAN,0:10,Goal,1
5m shot,3.0,4,1,5,CAN,1.0,MASON K,5 - 1,1,NZL,0:01,Blocked,0
Centre shot,8.0,4,1,6,CAN,2.0,LEMAY-LAVOIE E,6 - 1,436,CAN,7:16,Goal,1
5m shot,9.0,4,1,7,CAN,2.0,McKELVEY H,7 - 1,377,CAN,6:17,Goal,1
