Action,Cap,Game,NED,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Action shot,5.0,2,17,8,JPN,4.0,SAKANOUE C,8 - 17,343,JPN,5:43,Blocked,0
Action shot,9.0,2,17,8,JPN,4.0,MEGENS M,8 - 17,300,NED,5:00,Post,0
5m shot,5.0,2,17,8,JPN,4.0,SAKANOUE C,8 - 17,267,JPN,4:27,Post,0
Penalty shot,12.0,2,8,3,JPN,2.0,SUZUKI K,3 - 8,242,JPN,4:02,Goal,1
Centre shot,8.0,2,9,3,JPN,2.0,SEVENICH V,3 - 9,220,NED,3:40,Goal,1
Counter attack,2.0,2,9,4,JPN,2.0,ARIMA Y,4 - 9,167,JPN,2:47,Goal,1
Extra player shot,4.0,2,10,4,JPN,2.0,van der SLOOT S,4 - 10,96,NED,1:36,Goal,1
Extra player shot,2.0,2,10,5,JPN,2.0,ARIMA Y,5 - 10,72,JPN,1:12,Goal,1
Centre shot,2.0,2,10,5,JPN,2.0,SMIT Y,5 - 10,52,NED,0:52,Saved,0
Centre shot,4.0,2,10,5,JPN,2.0,van der SLOOT S,5 - 10,25,NED,0:25,Post,0
5m shot,2.0,2,10,5,JPN,3.0,SMIT Y,5 - 10,451,NED,7:31,Saved,0
Action shot,7.0,2,10,5,JPN,3.0,NIJHUIS M,5 - 10,404,NED,6:44,Saved,0
Extra player shot,12.0,2,10,5,JPN,3.0,SUZUKI K,5 - 10,382,JPN,6:22,Saved,0
Extra player shot,12.0,2,10,5,JPN,3.0,JOUSTRA K,5 - 10,340,NED,5:40,Missed,0
5m shot,2.0,2,10,6,JPN,3.0,ARIMA Y,6 - 10,331,JPN,5:31,Goal,1
Action shot,9.0,2,11,6,JPN,3.0,MEGENS M,6 - 11,277,NED,4:37,Goal,1
Penalty shot,9.0,2,12,6,JPN,3.0,MEGENS M,6 - 12,250,NED,4:10,Goal,1
Action shot,7.0,2,12,6,JPN,3.0,INABA A,6 - 12,182,JPN,3:02,Saved,0
Action shot,4.0,2,12,6,JPN,3.0,van der SLOOT S,6 - 12,178,NED,2:58,Saved,0
Action shot,7.0,2,12,6,JPN,3.0,INABA A,6 - 12,172,JPN,2:52,Post,0
5m shot,5.0,2,12,6,JPN,3.0,SAKANOUE C,6 - 12,161,JPN,2:41,Saved,0
