Period,Time,Action,Score,Team,Player,Cap,Opponent,BRA,Seconds,Game,Opponent name
2.0,3:11,Turnover foul,4 - 2,KAZ,TUROVA A,4.0,4,2,191,2,KAZ
2.0,3:11,Steal,4 - 2,BRA,VIGNA F,10.0,4,2,191,2,KAZ
2.0,2:43,5m shot - Saved,4 - 2,BRA,VIGNA F,10.0,4,2,163,2,KAZ
2.0,2:30,Turnover foul,4 - 2,KAZ,GRITSENKO M,10.0,4,2,150,2,KAZ
2.0,1:38,Centre shot - Goal,5 - 2,KAZ,TUROVA A,4.0,5,2,98,2,KAZ
2.0,1:23,Turnover foul,5 - 2,BRA,MURATORE V,9.0,5,2,83,2,KAZ
2.0,1:08,Turnover foul,5 - 2,KAZ,AKILBAYEVA A,3.0,5,2,68,2,KAZ
2.0,1:08,Steal,5 - 2,BRA,MAIA L,5.0,5,2,68,2,KAZ
4.0,2:56,Counter attack - Goal,9 - 5,BRA,CHIAPPINI I,8.0,9,5,176,2,KAZ
4.0,2:56,Time-Out,9 - 5,KAZ,,,9,5,176,2,KAZ
4.0,2:17,Turnover foul,9 - 5,BRA,CANETTI M,4.0,9,5,137,2,KAZ
4.0,2:17,Steal,9 - 5,KAZ,GRITSENKO M,10.0,9,5,137,2,KAZ
4.0,1:49,Action shot - Saved,9 - 5,KAZ,AKILBAYEVA A,3.0,9,5,109,2,KAZ
4.0,1:27,Turnover foul,9 - 5,BRA,ZABLITH M,3.0,9,5,87,2,KAZ
4.0,1:03,20 sec. exclusion in field,9 - 5,BRA,COUTINHO M,11.0,9,5,63,2,KAZ
2.0,0:53,20 sec. exclusion in centre,9 - 5,KAZ,TUROVA A,4.0,9,5,53,2,KAZ
2.0,0:23,Action shot - Post,9 - 5,BRA,CANETTI M,4.0,9,5,23,2,KAZ
2.0,0:02,5m shot - Saved,9 - 5,KAZ,AKILBAYEVA A,3.0,9,5,2,2,KAZ
2.0,0:01,20 sec. exclusion in field,9 - 5,BRA,ZABLITH M,3.0,9,5,1,2,KAZ
3.0,8:00,Starting goalkeeper,9 - 5,KAZ,ZHARKOVA A,1.0,9,5,480,2,KAZ
3.0,8:00,Starting goalkeeper,9 - 5,BRA,CANETTI M,1.0,9,5,480,2,KAZ
3.0,8:00,Sprint won possession,9 - 5,BRA,CHIAPPINI I,8.0,9,5,480,2,KAZ
3.0,7:33,5m shot - Missed,9 - 5,BRA,DIAS M,7.0,9,5,453,2,KAZ
3.0,7:21,Turnover foul,9 - 5,KAZ,GRITSENKO M,10.0,9,5,441,2,KAZ
3.0,7:13,Penalty foul,9 - 5,KAZ,ZUBKOVA A,6.0,9,5,433,2,KAZ
3.0,7:13,Penalty shot - Missed,9 - 5,BRA,COUTINHO M,11.0,9,5,433,2,KAZ
3.0,7:01,20 sec. exclusion in centre,9 - 5,BRA,DIAS M,7.0,9,5,421,2,KAZ
3.0,7:01,Exclusion with substitution,9 - 5,BRA,DIAS M,7.0,9,5,421,2,KAZ
3.0,6:50,Extra player shot - Post,9 - 5,KAZ,SHEPELINA N,2.0,9,5,410,2,KAZ
3.0,6:40,Centre shot - Goal,6 - 2,KAZ,JAKAYEVA A,9.0,6,2,400,2,KAZ
3.0,6:14,Turnover foul,6 - 2,BRA,VIGNA F,10.0,6,2,374,2,KAZ
3.0,6:14,Steal,6 - 2,KAZ,GRITSENKO M,10.0,6,2,374,2,KAZ
3.0,5:51,Centre shot - Post,6 - 2,KAZ,JAKAYEVA A,9.0,6,2,351,2,KAZ
3.0,5:42,20 sec. exclusion in field,6 - 2,KAZ,TUROVA A,4.0,6,2,342,2,KAZ
