Period,Time,Action,Score,Team,Player,Cap,Opponent,BRA,Seconds,Game,Opponent name,Result,Goal
3.0,5:32,Action shot,10 - 1,USA,RULON K,10.0,10,1,332,4,USA,Post,0
3.0,4:40,Action shot,10 - 1,USA,MATHEWSON C,7.0,10,1,280,4,USA,Saved,0
3.0,3:28,Action shot,10 - 2,BRA,CHIAPPINI I,8.0,10,2,208,4,USA,Goal,1
3.0,3:02,Centre shot,10 - 2,USA,NEUSHUL K,8.0,10,2,182,4,USA,Saved,0
3.0,2:34,5m shot,10 - 3,BRA,BAHIA V,12.0,10,3,154,4,USA,Goal,1
3.0,2:10,Action shot,11 - 3,USA,NEUSHUL K,8.0,11,3,130,4,USA,Goal,1
3.0,1:21,Action shot,11 - 3,USA,SEIDEMANN M,3.0,11,3,81,4,USA,Missed,0
3.0,0:22,Action shot,12 - 3,USA,FATTAL R,4.0,12,3,22,4,USA,Goal,1
4.0,7:31,Action shot,12 - 3,USA,SEIDEMANN M,3.0,12,3,451,4,USA,Saved,0
4.0,7:10,Centre shot,13 - 3,USA,STEFFENS M,6.0,13,3,430,4,USA,Goal,1
4.0,6:15,5m shot,14 - 3,USA,SILVER L,2.0,14,3,375,4,USA,Goal,1
4.0,4:30,5m shot,14 - 3,BRA,CHIAPPINI I,8.0,14,3,270,4,USA,Post,0
4.0,2:25,Action shot,14 - 3,BRA,VIGNA F,10.0,14,3,145,4,USA,Missed,0
4.0,2:12,Counter attack,14 - 3,USA,CLARK C,5.0,14,3,132,4,USA,Saved,0
4.0,1:13,Action shot,14 - 3,USA,FATTAL R,4.0,14,3,73,4,USA,Missed,0
4.0,0:27,Action shot,14 - 3,BRA,COUTINHO M,11.0,14,3,27,4,USA,Blocked,0
4.0,0:03,Centre shot,14 - 3,USA,DRIES A,11.0,14,3,3,4,USA,Post,0
