AUS,Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
5,5m shot,9.0,3,5,GRE,3.0,KOTSIA C,5 - 5,451,GRE,7:31,Saved,0
5,Action shot,3.0,3,5,GRE,3.0,BUCKLING H,5 - 5,434,AUS,7:14,Post,0
5,5m shot,10.0,3,6,GRE,3.0,MANOLIOUDAKI T,5 - 6,408,GRE,6:48,Goal,1
5,Action shot,5.0,3,6,GRE,3.0,BISHOP I,5 - 6,375,AUS,6:15,Blocked,0
5,Centre shot,7.0,3,6,GRE,3.0,WEBSTER R,5 - 6,324,AUS,5:24,Saved,0
6,Action shot,7.0,3,6,GRE,3.0,WEBSTER R,6 - 6,294,AUS,4:54,Goal,1
6,Extra player shot,4.0,3,6,GRE,3.0,ELEFTHERIADOU N,6 - 6,261,GRE,4:21,Saved,0
6,Action shot,9.0,3,6,GRE,3.0,ARANCINI Z,6 - 6,235,AUS,3:55,Post,0
6,Action shot,12.0,3,7,GRE,3.0,XENAKI E,6 - 7,198,GRE,3:18,Goal,1
6,5m shot,7.0,3,7,GRE,3.0,WEBSTER R,6 - 7,168,AUS,2:48,Saved,0
6,Action shot,8.0,3,7,GRE,3.0,CHYDIRIOTI I,6 - 7,138,GRE,2:18,Saved,0
6,Action shot,6.0,3,8,GRE,3.0,AVRAMIDOU A,6 - 8,111,GRE,1:51,Goal,1
7,Centre shot,3.0,3,8,GRE,3.0,BUCKLING H,7 - 8,61,AUS,1:01,Goal,1
7,Centre shot,7.0,3,8,GRE,3.0,ASIMAKI A,7 - 8,32,GRE,0:32,Saved,0
7,Action shot,5.0,3,8,GRE,3.0,BISHOP I,7 - 8,3,AUS,0:03,Saved,0
7,Action shot,11.0,3,8,GRE,3.0,PLEVRITOU E,7 - 8,1,GRE,0:01,Missed,0
7,5m shot,11.0,3,9,GRE,4.0,PLEVRITOU E,7 - 9,452,GRE,7:32,Goal,1
8,Action shot,5.0,3,9,GRE,4.0,BISHOP I,8 - 9,397,AUS,6:37,Goal,1
8,Action shot,7.0,3,10,GRE,4.0,ASIMAKI A,8 - 10,358,GRE,5:58,Goal,1
8,Action shot,4.0,3,10,GRE,4.0,HALLIGAN B,8 - 10,328,AUS,5:28,Blocked,0
8,5m shot,7.0,3,10,GRE,4.0,WEBSTER R,8 - 10,272,AUS,4:32,Blocked,0
8,5m shot,2.0,3,10,GRE,4.0,GOFERS K,8 - 10,245,AUS,4:05,Blocked,0
8,5m shot,2.0,3,10,GRE,4.0,TSOUKALA C,8 - 10,219,GRE,3:39,Missed,0
8,Centre shot,4.0,3,10,GRE,4.0,HALLIGAN B,8 - 10,189,AUS,3:09,Saved,0
8,5m shot,4.0,3,10,GRE,4.0,ELEFTHERIADOU N,8 - 10,168,GRE,2:48,Saved,0
8,Action shot,8.0,3,11,GRE,4.0,CHYDIRIOTI I,8 - 11,134,GRE,2:14,Goal,1
8,5m shot,7.0,3,11,GRE,4.0,WEBSTER R,8 - 11,70,AUS,1:10,Post,0
1,5m shot,7.0,4,0,FRA,1.0,WEBSTER R,0 - 1,428,AUS,7:08,Goal,1
1,5m shot,5.0,4,0,FRA,1.0,GUILLET L,0 - 1,398,FRA,6:38,Post,0
1,5m shot,3.0,4,0,FRA,1.0,BUCKLING H,0 - 1,382,AUS,6:22,Post,0
2,Penalty shot,7.0,4,0,FRA,1.0,WEBSTER R,0 - 2,341,AUS,5:41,Goal,1
2,5m shot,3.0,4,0,FRA,1.0,BACHELIER L,0 - 2,310,FRA,5:10,Blocked,0
3,Centre shot,9.0,4,0,FRA,1.0,ARANCINI Z,0 - 3,287,AUS,4:47,Goal,1
3,5m shot,10.0,4,0,FRA,1.0,DESCHAMPT Y,0 - 3,257,FRA,4:17,Saved,0
3,Action shot,7.0,4,0,FRA,1.0,WEBSTER R,0 - 3,230,AUS,3:50,Missed,0
3,Action shot,5.0,4,0,FRA,1.0,GUILLET L,0 - 3,212,FRA,3:32,Saved,0
3,5m shot,2.0,4,0,FRA,1.0,MILLOT E,0 - 3,161,FRA,2:41,Saved,0
4,Counter attack,2.0,4,0,FRA,1.0,GOFERS K,0 - 4,145,AUS,2:25,Goal,1
4,5m shot,7.0,4,0,FRA,1.0,VALVERDE C,0 - 4,116,FRA,1:56,Saved,0
