Action,Cap,Game,JPN,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Time-Out,,1,10,20,HUN,4.0,,10 - 20,5,JPN,0:05
Extra player shot - Goal,7.0,1,11,20,HUN,4.0,INABA A,11 - 20,1,JPN,0:01
Starting goalkeeper,1.0,2,0,0,NED,1.0,AOKI M,0 - 0,480,JPN,8:00
Starting goalkeeper,13.0,2,0,0,NED,1.0,WILLEMSZ D,0 - 0,480,NED,8:00
Sprint won possession,4.0,2,0,0,NED,1.0,van der SLOOT S,0 - 0,480,NED,8:00
20 sec. exclusion in centre,6.0,2,0,0,NED,1.0,STOMPHORST N,0 - 0,439,NED,7:19
Action shot - Post,7.0,2,0,0,NED,1.0,INABA A,0 - 0,421,JPN,7:01
Centre shot - Goal,4.0,2,0,1,NED,1.0,van der SLOOT S,0 - 1,409,NED,6:49
Turnover foul,7.0,2,0,1,NED,1.0,INABA A,0 - 1,395,JPN,6:35
20 sec. exclusion in centre,11.0,2,0,1,NED,1.0,TOKUMOTO M,0 - 1,385,JPN,6:25
Centre shot - Goal,8.0,2,0,2,NED,1.0,SEVENICH V,0 - 2,383,NED,6:23
Turnover foul,12.0,2,0,2,NED,1.0,SUZUKI K,0 - 2,362,JPN,6:02
Counter attack - Goal,2.0,2,0,3,NED,1.0,SMIT Y,0 - 3,356,NED,5:56
Turnover foul,7.0,2,0,3,NED,1.0,INABA A,0 - 3,333,JPN,5:33
Steal,8.0,2,0,3,NED,1.0,SEVENICH V,0 - 3,333,NED,5:33
Counter attack - Goal,4.0,2,0,4,NED,1.0,van der SLOOT S,0 - 4,327,NED,5:27
Time-Out,,2,0,4,NED,1.0,,0 - 4,327,JPN,5:27
20 sec. exclusion in centre,3.0,2,0,4,NED,1.0,GENEE D,0 - 4,308,NED,5:08
Action shot - Saved,10.0,2,0,4,NED,1.0,NORO M,0 - 4,300,JPN,5:00
Centre shot - Saved,8.0,2,0,4,NED,1.0,SEVENICH V,0 - 4,284,NED,4:44
5m shot - Blocked,2.0,2,0,4,NED,1.0,ARIMA Y,0 - 4,256,JPN,4:16
Centre shot - Goal,4.0,2,0,5,NED,1.0,van der SLOOT S,0 - 5,236,NED,3:56
Turnover foul,6.0,2,0,5,NED,1.0,YAMAMOTO M,0 - 5,221,JPN,3:41
Steal,8.0,2,0,5,NED,1.0,SEVENICH V,0 - 5,221,NED,3:41
Turnover foul,8.0,2,0,5,NED,1.0,SEVENICH V,0 - 5,210,NED,3:30
Steal,10.0,2,0,5,NED,1.0,NORO M,0 - 5,210,JPN,3:30
Turnover foul,3.0,2,0,5,NED,1.0,KAZAMA Y,0 - 5,187,JPN,3:07
Steal,11.0,2,0,5,NED,1.0,KLAASSEN L,0 - 5,187,NED,3:07
20 sec. exclusion in centre,12.0,2,0,5,NED,1.0,SUZUKI K,0 - 5,184,JPN,3:04
Extra player shot - Goal,2.0,2,0,6,NED,1.0,SMIT Y,0 - 6,174,NED,2:54
5m shot - Post,3.0,2,0,6,NED,1.0,KAZAMA Y,0 - 6,141,JPN,2:21
Turnover foul,6.0,2,0,6,NED,1.0,STOMPHORST N,0 - 6,125,NED,2:05
Steal,5.0,2,0,6,NED,1.0,SAKANOUE C,0 - 6,125,JPN,2:05
20 sec. exclusion in field,12.0,2,0,6,NED,1.0,JOUSTRA K,0 - 6,113,NED,1:53
Goalkeeper substitution,1.0,2,0,6,NED,1.0,AARTS L,0 - 6,89,NED,1:29
Action shot - Missed,2.0,2,0,6,NED,1.0,ARIMA Y,0 - 6,88,JPN,1:28
Turnover foul,10.0,2,0,6,NED,1.0,KOOLHAAS I,0 - 6,72,NED,1:12
Steal,1.0,2,0,6,NED,1.0,AOKI M,0 - 6,72,JPN,1:12
5m shot - Missed,2.0,2,0,6,NED,1.0,ARIMA Y,0 - 6,54,JPN,0:54
Action shot - Saved,7.0,2,0,6,NED,1.0,NIJHUIS M,0 - 6,42,NED,0:42
20 sec. exclusion in centre,11.0,2,0,6,NED,1.0,KLAASSEN L,0 - 6,31,NED,0:31
Turnover foul,12.0,2,0,6,NED,1.0,SUZUKI K,0 - 6,23,JPN,0:23
Time-Out,,2,0,6,NED,1.0,,0 - 6,23,NED,0:23
Action shot - Goal,5.0,2,0,7,NED,1.0,GENEE A,0 - 7,3,NED,0:03
5m shot - Saved,8.0,2,0,7,NED,1.0,NIIZAWA Y,0 - 7,1,JPN,0:01
Starting goalkeeper,1.0,2,0,7,NED,2.0,AOKI M,0 - 7,480,JPN,8:00
Starting goalkeeper,1.0,2,0,7,NED,2.0,AARTS L,0 - 7,480,NED,8:00
Sprint won possession,3.0,2,0,7,NED,2.0,GENEE D,0 - 7,480,NED,8:00
Turnover foul,10.0,2,0,7,NED,2.0,KOOLHAAS I,0 - 7,463,NED,7:43
Steal,2.0,2,0,7,NED,2.0,ARIMA Y,0 - 7,463,JPN,7:43
20 sec. exclusion in centre,5.0,2,0,7,NED,2.0,GENEE A,0 - 7,448,NED,7:28
Centre shot - Saved,2.0,2,0,7,NED,2.0,ARIMA Y,0 - 7,431,JPN,7:11
20 sec. exclusion in field,10.0,2,0,7,NED,2.0,NORO M,0 - 7,410,JPN,6:50
Extra player shot - Goal,4.0,2,0,8,NED,2.0,van der SLOOT S,0 - 8,393,NED,6:33
Goalkeeper substitution,13.0,2,0,8,NED,2.0,SHIOYA M,0 - 8,390,JPN,6:30
5m shot - Goal,4.0,2,1,8,NED,2.0,MAGARIYAMA S,1 - 8,362,JPN,6:02
Centre shot - Saved,6.0,2,1,8,NED,2.0,STOMPHORST N,1 - 8,338,NED,5:38
5m shot - Goal,11.0,2,2,8,NED,2.0,TOKUMOTO M,2 - 8,321,JPN,5:21
Turnover foul,3.0,2,2,8,NED,2.0,GENEE D,2 - 8,291,NED,4:51
Steal,13.0,2,2,8,NED,2.0,SHIOYA M,2 - 8,291,JPN,4:51
5m shot - Missed,12.0,2,2,8,NED,2.0,SUZUKI K,2 - 8,279,JPN,4:39
20 sec. exclusion in centre,11.0,2,2,8,NED,2.0,TOKUMOTO M,2 - 8,256,JPN,4:16
