Action,Cap,Game,Opponent,Opponent name,Period,Player,RUS,Score,Seconds,Team,Time,Result,Goal
Action shot,12.0,1,1,FRA,2.0,JASKOVA M,7,7 - 1,317,FRA,5:17,Post,0
Centre shot,5.0,1,1,FRA,2.0,GUILLET L,7,7 - 1,301,FRA,5:01,Saved,0
Extra player shot,6.0,1,1,FRA,2.0,SIMANOVICH A,8,8 - 1,281,RUS,4:41,Goal,1
Action shot,6.0,1,1,FRA,2.0,MAHIEU G,8,8 - 1,267,FRA,4:27,Missed,0
5m shot,8.0,1,1,FRA,2.0,TARDY M,8,8 - 1,176,FRA,2:56,Post,0
Action shot,5.0,1,1,FRA,2.0,GUILLET L,8,8 - 1,127,FRA,2:07,Saved,0
Action shot,2.0,1,2,FRA,2.0,MILLOT E,8,8 - 2,80,FRA,1:20,Goal,1
Action shot,10.0,1,2,FRA,2.0,TANKEEVA E,8,8 - 2,68,RUS,1:08,Missed,0
5m shot,5.0,1,3,FRA,2.0,GUILLET L,8,8 - 3,43,FRA,0:43,Goal,1
Action shot,10.0,1,3,FRA,2.0,TANKEEVA E,8,8 - 3,14,RUS,0:14,Saved,0
5m shot,7.0,1,3,FRA,2.0,BARBIEUX M,8,8 - 3,0,FRA,0:00,Saved,0
Action shot,3.0,1,3,FRA,3.0,PROKOFYEVA E,9,9 - 3,469,RUS,7:49,Goal,1
Action shot,5.0,1,4,FRA,3.0,GUILLET L,9,9 - 4,417,FRA,6:57,Goal,1
Action shot,6.0,1,4,FRA,3.0,MAHIEU G,9,9 - 4,361,FRA,6:01,Saved,0
Action shot,12.0,1,4,FRA,3.0,IARONDAIKINA N,10,10 - 4,347,RUS,5:47,Goal,1
5m shot,9.0,1,4,FRA,3.0,TIMOFEEVA A,10,10 - 4,305,RUS,5:05,Post,0
Action shot,7.0,1,4,FRA,3.0,LISUNOVA E,11,11 - 4,204,RUS,3:24,Goal,1
5m shot,12.0,1,4,FRA,3.0,JASKOVA M,11,11 - 4,171,FRA,2:51,Saved,0
Action shot,5.0,1,4,FRA,3.0,ZUBACHEVA E,11,11 - 4,139,RUS,2:19,Saved,0
Action shot,3.0,1,4,FRA,3.0,PROKOFYEVA E,12,12 - 4,134,RUS,2:14,Goal,1
5m shot,2.0,1,4,FRA,3.0,MILLOT E,12,12 - 4,109,FRA,1:49,Missed,0
5m shot,8.0,1,4,FRA,3.0,TARDY M,12,12 - 4,62,FRA,1:02,Post,0
Action shot,5.0,1,4,FRA,3.0,GUILLET L,12,12 - 4,9,FRA,0:09,Saved,0
