Action,Cap,Game,HUN,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
20 sec. exclusion in centre,11.0,1,5,0,KAZ,2.0,MANAFOV R,5 - 0,265,KAZ,4:25
Extra player shot - Goal,11.0,1,6,0,KAZ,2.0,BEDO K,6 - 0,249,HUN,4:09
20 sec. exclusion in centre,2.0,1,6,0,KAZ,2.0,GOR-NAGY M,6 - 0,235,HUN,3:55
Action shot - Blocked,9.0,1,6,0,KAZ,2.0,UKUMANOV R,6 - 0,190,KAZ,3:10
5m shot - Saved,4.0,1,6,0,KAZ,2.0,ERDELYI B,6 - 0,177,HUN,2:57
Counter attack - Saved,2.0,1,6,0,KAZ,2.0,GUBAREV S,6 - 0,161,KAZ,2:41
5m shot - Saved,7.0,1,6,0,KAZ,2.0,ANGYAL D,6 - 0,147,HUN,2:27
20 sec. exclusion in centre,9.0,1,6,0,KAZ,2.0,UKUMANOV R,6 - 0,130,KAZ,2:10
Turnover foul,5.0,1,6,0,KAZ,2.0,VAMOS M,6 - 0,118,HUN,1:58
Action shot - Saved,5.0,1,6,0,KAZ,2.0,USHAKOV V,6 - 0,90,KAZ,1:30
Time-Out,,1,6,0,KAZ,2.0,,6 - 0,89,HUN,1:29
20 sec. exclusion in centre,8.0,1,6,0,KAZ,2.0,KOLIADENKO A,6 - 0,69,KAZ,1:09
Extra player shot - Goal,8.0,1,7,0,KAZ,2.0,SZIVOS M,7 - 0,56,HUN,0:56
20 sec. exclusion in centre,11.0,1,7,0,KAZ,2.0,BEDO K,7 - 0,41,HUN,0:41
Extra player shot - Saved,5.0,1,7,0,KAZ,2.0,USHAKOV V,7 - 0,11,KAZ,0:11
Starting goalkeeper,1.0,1,7,0,KAZ,3.0,NAGY V,7 - 0,480,HUN,8:00
Starting goalkeeper,1.0,1,7,0,KAZ,3.0,FEDOROV A,7 - 0,480,KAZ,8:00
Sprint won possession,9.0,1,7,0,KAZ,3.0,VARGA D,7 - 0,480,HUN,8:00
20 sec. exclusion in centre,4.0,1,7,0,KAZ,3.0,PILIPENKO R,7 - 0,454,KAZ,7:34
Extra player shot - Goal,12.0,1,8,0,KAZ,3.0,HARAI B,8 - 0,442,HUN,7:22
Centre shot - Saved,12.0,1,8,0,KAZ,3.0,PEKOVICH B,8 - 0,419,KAZ,6:59
Centre shot - Goal,12.0,1,9,0,KAZ,3.0,HARAI B,9 - 0,405,HUN,6:45
20 sec. exclusion in centre,3.0,1,9,0,KAZ,3.0,AXENOV A,9 - 0,354,KAZ,5:54
Extra player shot - Post,9.0,1,9,0,KAZ,3.0,VARGA D,9 - 0,348,HUN,5:48
Extra player shot - Post,3.0,1,9,0,KAZ,3.0,MADARAS N,9 - 0,335,HUN,5:35
Action shot - Goal,6.0,1,10,0,KAZ,3.0,HOSNYANSZKY N,10 - 0,326,HUN,5:26
20 sec. exclusion in field,5.0,1,10,0,KAZ,3.0,VAMOS M,10 - 0,313,HUN,5:13
