Action,Cap,Game,NED,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Extra player shot,11.0,5,7,7,RUS,3.0,KLAASSEN L,7 - 7,299,NED,4:59,Missed,0
5m shot,11.0,5,7,7,RUS,3.0,IVANOVA E,7 - 7,281,RUS,4:41,Missed,0
Action shot,11.0,5,7,7,RUS,3.0,KLAASSEN L,7 - 7,267,NED,4:27,Saved,0
5m shot,9.0,5,7,7,RUS,3.0,MEGENS M,7 - 7,251,NED,4:11,Post,0
Extra player shot,9.0,5,7,7,RUS,3.0,MEGENS M,7 - 7,236,NED,3:56,Saved,0
5m shot,5.0,5,7,7,RUS,3.0,ZUBACHEVA E,7 - 7,211,RUS,3:31,Post,0
5m shot,3.0,5,7,7,RUS,3.0,GENEE D,7 - 7,181,NED,3:01,Blocked,0
Action shot,11.0,5,7,7,RUS,3.0,IVANOVA E,7 - 7,135,RUS,2:15,Saved,0
Extra player shot,11.0,5,8,7,RUS,3.0,KLAASSEN L,7 - 8,115,NED,1:55,Goal,1
Action shot,9.0,5,8,7,RUS,3.0,TIMOFEEVA A,7 - 8,83,RUS,1:23,Saved,0
5m shot,5.0,5,8,7,RUS,3.0,ZUBACHEVA E,7 - 8,48,RUS,0:48,Missed,0
5m shot,11.0,5,8,7,RUS,3.0,KLAASSEN L,7 - 8,0,NED,0:00,Saved,0
Counter attack,9.0,5,9,7,RUS,4.0,MEGENS M,7 - 9,423,NED,7:03,Goal,1
Action shot,11.0,5,9,7,RUS,4.0,IVANOVA E,7 - 9,398,RUS,6:38,Blocked,0
Action shot,9.0,5,9,7,RUS,4.0,TIMOFEEVA A,7 - 9,356,RUS,5:56,Saved,0
Extra player shot,7.0,5,9,7,RUS,4.0,LISUNOVA E,7 - 9,314,RUS,5:14,Saved,0
Action shot,4.0,5,9,8,RUS,4.0,KARIMOVA E,8 - 9,300,RUS,5:00,Goal,1
Penalty shot,4.0,5,10,8,RUS,4.0,VAN DER SLOOT C,8 - 10,284,NED,4:44,Goal,1
5m shot,8.0,5,10,8,RUS,4.0,ABDRIZIAKOVA E,8 - 10,262,RUS,4:22,Saved,0
5m shot,9.0,5,10,8,RUS,4.0,MEGENS M,8 - 10,233,NED,3:53,Blocked,0
5m shot,7.0,5,10,8,RUS,4.0,LISUNOVA E,8 - 10,206,RUS,3:26,Blocked,0
Action shot,9.0,5,10,8,RUS,4.0,MEGENS M,8 - 10,183,NED,3:03,Saved,0
Action shot,4.0,5,10,8,RUS,4.0,KARIMOVA E,8 - 10,138,RUS,2:18,Post,0
Action shot,2.0,5,10,8,RUS,4.0,SMIT M,8 - 10,27,NED,0:27,Blocked,0
Action shot,8.0,6,0,0,ITA,1.0,SEVENICH V,0 - 0,439,NED,7:19,Saved,0
5m shot,5.0,6,0,0,ITA,1.0,RADICCHI F,0 - 0,409,ITA,6:49,Missed,0
5m shot,11.0,6,0,0,ITA,1.0,KLAASSEN L,0 - 0,382,NED,6:22,Missed,0
Extra player shot,8.0,6,0,0,ITA,1.0,BIANCONI R,0 - 0,348,ITA,5:48,Blocked,0
Action shot,2.0,6,0,0,ITA,1.0,SMIT M,0 - 0,322,NED,5:22,Post,0
Action shot,8.0,6,0,0,ITA,1.0,BIANCONI R,0 - 0,264,ITA,4:24,Post,0
5m shot,4.0,6,1,0,ITA,1.0,VAN DER SLOOT C,0 - 1,238,NED,3:58,Goal,1
5m shot,7.0,6,1,0,ITA,1.0,DI MARIO T,0 - 1,217,ITA,3:37,Post,0
Counter attack,9.0,6,2,0,ITA,1.0,MEGENS M,0 - 2,207,NED,3:27,Goal,1
5m shot,5.0,6,2,0,ITA,1.0,RADICCHI F,0 - 2,178,ITA,2:58,Saved,0
5m shot,5.0,6,2,0,ITA,1.0,RADICCHI F,0 - 2,132,ITA,2:12,Post,0
5m shot,3.0,6,2,0,ITA,1.0,GARIBOTTI A,0 - 2,81,ITA,1:21,Saved,0
Action shot,3.0,6,2,0,ITA,1.0,GARIBOTTI A,0 - 2,66,ITA,1:06,Saved,0
Extra player shot,9.0,6,2,0,ITA,1.0,EMMOLO G,0 - 2,42,ITA,0:42,Post,0
Action shot,2.0,6,2,0,ITA,1.0,SMIT M,0 - 2,5,NED,0:05,Saved,0
5m shot,8.0,6,2,0,ITA,1.0,BIANCONI R,0 - 2,1,ITA,0:01,Saved,0
5m shot,7.0,6,2,0,ITA,2.0,NIJHUIS M,0 - 2,453,NED,7:33,Post,0
5m shot,7.0,6,2,0,ITA,2.0,NIJHUIS M,0 - 2,403,NED,6:43,Post,0
Action shot,4.0,6,2,0,ITA,2.0,QUEIROLO E,0 - 2,374,ITA,6:14,Post,0
5m shot,11.0,6,2,0,ITA,2.0,KLAASSEN L,0 - 2,331,NED,5:31,Blocked,0
Action shot,4.0,6,2,0,ITA,2.0,QUEIROLO E,0 - 2,299,ITA,4:59,Saved,0
Action shot,8.0,6,2,0,ITA,2.0,BIANCONI R,0 - 2,225,ITA,3:45,Missed,0
Action shot,9.0,6,3,0,ITA,2.0,MEGENS M,0 - 3,186,NED,3:06,Goal,1
Extra player shot,11.0,6,3,0,ITA,2.0,BARZON L,0 - 3,108,ITA,1:48,Saved,0
Centre shot,9.0,6,4,0,ITA,2.0,MEGENS M,0 - 4,89,NED,1:29,Goal,1
5m shot,5.0,6,4,1,ITA,2.0,RADICCHI F,1 - 4,29,ITA,0:29,Goal,1
Action shot,9.0,6,5,1,ITA,2.0,MEGENS M,1 - 5,8,NED,0:08,Goal,1
5m shot,8.0,6,5,1,ITA,2.0,BIANCONI R,1 - 5,2,ITA,0:02,Saved,0
5m shot,1.0,6,5,1,ITA,2.0,AARTS L,1 - 5,1,NED,0:01,Saved,0
Centre shot,7.0,6,7,7,ITA,3.0,DI MARIO T,7 - 7,421,ITA,7:01,Blocked,0
Action shot,4.0,6,7,7,ITA,3.0,VAN DER SLOOT C,7 - 7,394,NED,6:34,Saved,0
5m shot,9.0,6,7,7,ITA,3.0,EMMOLO G,7 - 7,353,ITA,5:53,Saved,0
5m shot,7.0,6,7,7,ITA,3.0,DI MARIO T,7 - 7,333,ITA,5:33,Saved,0
5m shot,7.0,6,7,7,ITA,3.0,DI MARIO T,7 - 7,293,ITA,4:53,Post,0
Action shot,4.0,6,7,7,ITA,3.0,VAN DER SLOOT C,7 - 7,265,NED,4:25,Saved,0
Action shot,7.0,6,7,7,ITA,3.0,NIJHUIS M,7 - 7,233,NED,3:53,Saved,0
5m shot,8.0,6,7,7,ITA,3.0,BIANCONI R,7 - 7,180,ITA,3:00,Blocked,0
Action shot,4.0,6,7,7,ITA,3.0,VAN DER SLOOT C,7 - 7,150,NED,2:30,Saved,0
5m shot,3.0,6,7,7,ITA,3.0,GARIBOTTI A,7 - 7,111,ITA,1:51,Post,0
5m shot,3.0,6,5,2,ITA,3.0,GARIBOTTI A,2 - 5,93,ITA,1:33,Goal,1
Extra player shot,11.0,6,5,2,ITA,3.0,KLAASSEN L,2 - 5,57,NED,0:57,Blocked,0
Extra player shot,3.0,6,5,2,ITA,3.0,GARIBOTTI A,2 - 5,17,ITA,0:17,Missed,0
Action shot,8.0,6,5,2,ITA,3.0,SEVENICH V,2 - 5,1,NED,0:01,Saved,0
Action shot,5.0,6,5,3,ITA,4.0,RADICCHI F,3 - 5,393,ITA,6:33,Goal,1
Action shot,5.0,6,5,3,ITA,4.0,RADICCHI F,3 - 5,337,ITA,5:37,Post,0
Action shot,9.0,6,5,3,ITA,4.0,MEGENS M,3 - 5,306,NED,5:06,Post,0
5m shot,7.0,6,5,3,ITA,4.0,NIJHUIS M,3 - 5,251,NED,4:11,Blocked,0
Extra player shot,4.0,6,5,4,ITA,4.0,QUEIROLO E,4 - 5,232,ITA,3:52,Goal,1
5m shot,3.0,6,5,4,ITA,4.0,GENEE D,4 - 5,204,NED,3:24,Saved,0
Extra player shot,9.0,6,5,4,ITA,4.0,EMMOLO G,4 - 5,161,ITA,2:41,Blocked,0
Action shot,6.0,6,5,5,ITA,4.0,AIELLO R,5 - 5,154,ITA,2:34,Goal,1
5m shot,9.0,6,5,5,ITA,4.0,MEGENS M,5 - 5,138,NED,2:18,Saved,0
5m shot,8.0,6,5,5,ITA,4.0,BIANCONI R,5 - 5,110,ITA,1:50,Saved,0
5m shot,7.0,6,5,5,ITA,4.0,NIJHUIS M,5 - 5,80,NED,1:20,Missed,0
5m shot,5.0,6,5,5,ITA,4.0,RADICCHI F,5 - 5,56,ITA,0:56,Missed,0
5m shot,11.0,6,5,5,ITA,4.0,KLAASSEN L,5 - 5,38,NED,0:38,Missed,0
5m shot,9.0,6,5,5,ITA,4.0,EMMOLO G,5 - 5,12,ITA,0:12,Saved,0
5m shot,8.0,6,5,5,ITA,4.0,SEVENICH V,5 - 5,2,NED,0:02,Missed,0
5m shot,7.0,6,5,5,ITA,4.0,DI MARIO T,5 - 5,0,ITA,0:00,Saved,0
Action shot,8.0,7,0,0,USA,1.0,SEVENICH V,0 - 0,422,NED,7:02,Saved,0
5m shot,3.0,7,0,0,USA,1.0,SEIDEMANN M,0 - 0,396,USA,6:36,Missed,0
Action shot,4.0,7,0,0,USA,1.0,VAN DER SLOOT C,0 - 0,365,NED,6:05,Post,0
5m shot,11.0,7,0,0,USA,1.0,KLAASSEN L,0 - 0,314,NED,5:14,Missed,0
Centre shot,12.0,7,0,0,USA,1.0,CRAIG K,0 - 0,288,USA,4:48,Saved,0
5m shot,6.0,7,0,0,USA,1.0,STOMPHORST N,0 - 0,257,NED,4:17,Saved,0
Extra player shot,7.0,7,0,0,USA,1.0,MATHEWSON C,0 - 0,219,USA,3:39,Saved,0
5m shot,9.0,7,0,0,USA,1.0,MEGENS M,0 - 0,194,NED,3:14,Saved,0
5m shot,11.0,7,0,0,USA,1.0,KLAASSEN L,0 - 0,179,NED,2:59,Post,0
Action shot,2.0,7,1,0,USA,1.0,SMIT M,0 - 1,119,NED,1:59,Goal,1
5m shot,2.0,7,1,0,USA,1.0,MUSSELMAN M,0 - 1,89,USA,1:29,Saved,0
Action shot,11.0,7,1,0,USA,1.0,FISCHER M,0 - 1,55,USA,0:55,Saved,0
Action shot,5.0,7,1,0,USA,1.0,GENEE A,0 - 1,27,NED,0:27,Saved,0
Extra player shot,11.0,7,1,0,USA,2.0,FISCHER M,0 - 1,423,USA,7:03,Post,0
Action shot,4.0,7,1,1,USA,2.0,FATTAL R,1 - 1,420,USA,7:00,Goal,1
Action shot,2.0,7,1,1,USA,2.0,SMIT M,1 - 1,388,NED,6:28,Saved,0
Counter attack,2.0,7,1,2,USA,2.0,MUSSELMAN M,2 - 1,383,USA,6:23,Goal,1
Extra player shot,11.0,7,1,2,USA,2.0,FISCHER M,2 - 1,360,USA,6:00,Post,0
5m shot,6.0,7,1,2,USA,2.0,STEFFENS M,2 - 1,329,USA,5:29,Blocked,0
Extra player shot,10.0,7,1,2,USA,2.0,GILCHRIST K,2 - 1,308,USA,5:08,Missed,0
5m shot,3.0,7,1,2,USA,2.0,GENEE D,2 - 1,277,NED,4:37,Blocked,0
5m shot,4.0,7,1,2,USA,2.0,FATTAL R,2 - 1,247,USA,4:07,Missed,0
Counter attack,11.0,7,2,2,USA,2.0,KLAASSEN L,2 - 2,235,NED,3:55,Goal,1
Extra player shot,6.0,7,2,2,USA,2.0,STEFFENS M,2 - 2,89,USA,1:29,Post,0
Action shot,8.0,7,2,2,USA,2.0,NEUSHUL K,2 - 2,68,USA,1:08,Saved,0
5m shot,11.0,7,2,2,USA,2.0,KLAASSEN L,2 - 2,39,NED,0:39,Saved,0
Extra player shot,4.0,7,2,3,USA,3.0,FATTAL R,3 - 2,458,USA,7:38,Goal,1
Action shot,2.0,7,2,3,USA,3.0,SMIT M,3 - 2,433,NED,7:13,Saved,0
Action shot,7.0,7,2,3,USA,3.0,MATHEWSON C,3 - 2,417,USA,6:57,Saved,0
5m shot,4.0,7,2,3,USA,3.0,VAN DER SLOOT C,3 - 2,385,NED,6:25,Blocked,0
Action shot,3.0,7,2,3,USA,3.0,SEIDEMANN M,3 - 2,358,USA,5:58,Blocked,0
5m shot,9.0,7,2,3,USA,3.0,MEGENS M,3 - 2,326,NED,5:26,Saved,0
Extra player shot,9.0,7,3,3,USA,3.0,MEGENS M,3 - 3,314,NED,5:14,Goal,1
Action shot,8.0,7,3,4,USA,3.0,NEUSHUL K,4 - 3,289,USA,4:49,Goal,1
5m shot,11.0,7,3,4,USA,3.0,FISCHER M,4 - 3,231,USA,3:51,Saved,0
Extra player shot,7.0,7,3,4,USA,3.0,MATHEWSON C,4 - 3,172,USA,2:52,Post,0
5m shot,7.0,7,3,4,USA,3.0,NIJHUIS M,4 - 3,142,NED,2:22,Missed,0
Counter attack,4.0,7,3,4,USA,3.0,VAN DER SLOOT C,4 - 3,109,NED,1:49,Saved,0
5m shot,11.0,7,3,4,USA,3.0,KLAASSEN L,4 - 3,61,NED,1:01,Saved,0
5m shot,7.0,7,3,5,USA,3.0,MATHEWSON C,5 - 3,35,USA,0:35,Goal,1
Extra player shot,2.0,7,3,5,USA,3.0,SMIT M,5 - 3,5,NED,0:05,Blocked,0
5m shot,3.0,7,3,5,USA,4.0,SEIDEMANN M,5 - 3,397,USA,6:37,Blocked,0
5m shot,6.0,7,3,5,USA,4.0,STOMPHORST N,5 - 3,368,NED,6:08,Saved,0
Action shot,7.0,7,3,5,USA,4.0,MATHEWSON C,5 - 3,260,USA,4:20,Post,0
Penalty shot,4.0,7,3,5,USA,4.0,VAN DER SLOOT C,5 - 3,242,NED,4:02,Saved,0
Counter attack,9.0,7,4,5,USA,4.0,MEGENS M,5 - 4,193,NED,3:13,Goal,1
Action shot,3.0,7,4,5,USA,4.0,SEIDEMANN M,5 - 4,173,USA,2:53,Saved,0
5m shot,3.0,7,4,5,USA,4.0,SEIDEMANN M,5 - 4,149,USA,2:29,Blocked,0
5m shot,2.0,7,4,5,USA,4.0,SMIT M,5 - 4,96,NED,1:36,Missed,0
Extra player shot,2.0,7,4,5,USA,4.0,SMIT M,5 - 4,75,NED,1:15,Saved,0
5m shot,6.0,7,4,5,USA,4.0,STEFFENS M,5 - 4,43,USA,0:43,Saved,0
5m shot,6.0,7,4,5,USA,4.0,STOMPHORST N,5 - 4,16,NED,0:16,Saved,0
