Action,Cap,Game,Opponent,Opponent name,Period,Player,SRB,Score,Seconds,Team,Time
Centre shot - Missed,12.0,2,3,HUN,2.0,HARAI B,3,3 - 3,431,HUN,7:11
Centre shot - Goal,6.0,2,3,HUN,2.0,PIJETLOVIC D,4,4 - 3,415,SRB,6:55
20 sec. exclusion in field,3.0,2,3,HUN,2.0,GOCIC Z,4,4 - 3,396,SRB,6:36
Extra player shot - Goal,3.0,2,4,HUN,2.0,MADARAS N,4,4 - 4,381,HUN,6:21
20 sec. exclusion in centre,6.0,2,4,HUN,2.0,HOSNYANSZKY N,4,4 - 4,360,HUN,6:00
Action shot - Missed,2.0,2,4,HUN,2.0,MANDIC D,4,4 - 4,335,SRB,5:35
20 sec. exclusion in centre,9.0,2,4,HUN,2.0,RADEN N,4,4 - 4,317,SRB,5:17
Extra player shot - Saved,12.0,2,4,HUN,2.0,HARAI B,4,4 - 4,301,HUN,5:01
Counter attack - Goal,4.0,2,4,HUN,2.0,UDOVICIC V,5,5 - 4,287,SRB,4:47
Turnover foul,11.0,2,4,HUN,2.0,BEDO K,5,5 - 4,259,HUN,4:19
Steal,8.0,2,4,HUN,2.0,ALEKSIC M,5,5 - 4,259,SRB,4:19
20 sec. exclusion in centre,11.0,2,4,HUN,2.0,BEDO K,5,5 - 4,240,HUN,4:00
Extra player shot - Goal,7.0,2,4,HUN,2.0,NIKIC S,6,6 - 4,225,SRB,3:45
Time-Out,,2,4,HUN,2.0,,6,6 - 4,225,HUN,3:45
Turnover foul,11.0,2,4,HUN,2.0,BEDO K,6,6 - 4,202,HUN,3:22
Steal,11.0,2,4,HUN,2.0,PRLAINOVIC A,6,6 - 4,202,SRB,3:22
Turnover foul,10.0,2,4,HUN,2.0,FILIPOVIC F,6,6 - 4,188,SRB,3:08
Steal,8.0,2,4,HUN,2.0,SZIVOS M,6,6 - 4,188,HUN,3:08
5m shot - Blocked,3.0,2,4,HUN,2.0,MADARAS N,6,6 - 4,158,HUN,2:38
20 sec. exclusion in centre,7.0,2,4,HUN,2.0,NIKIC S,6,6 - 4,130,SRB,2:10
Extra player shot - Goal,11.0,2,5,HUN,2.0,BEDO K,6,6 - 5,123,HUN,2:03
20 sec. exclusion in field,12.0,2,5,HUN,2.0,HARAI B,6,6 - 5,110,HUN,1:50
Action shot - Missed,11.0,2,5,HUN,2.0,PRLAINOVIC A,6,6 - 5,87,SRB,1:27
20 sec. exclusion in centre,4.0,2,5,HUN,2.0,UDOVICIC V,6,6 - 5,66,SRB,1:06
Extra player shot - Missed,3.0,2,5,HUN,2.0,MADARAS N,6,6 - 5,51,HUN,0:51
20 sec. exclusion in centre,7.0,2,5,HUN,2.0,DECKER A,6,6 - 5,35,HUN,0:35
Time-Out,,2,5,HUN,2.0,,6,6 - 5,35,SRB,0:35
Extra player shot - Goal,11.0,2,5,HUN,2.0,PRLAINOVIC A,7,7 - 5,19,SRB,0:19
Turnover foul,12.0,2,5,HUN,2.0,HARAI B,7,7 - 5,7,HUN,0:07
Extra player shot - Goal,12.0,2,10,HUN,4.0,MITROVIC S,12,12 - 10,185,SRB,3:05
5m shot - Blocked,9.0,2,10,HUN,4.0,VARGA D,12,12 - 10,159,HUN,2:39
Action shot - Post,11.0,2,10,HUN,4.0,PRLAINOVIC A,12,12 - 10,135,SRB,2:15
20 sec. exclusion in field,2.0,2,10,HUN,4.0,MANDIC D,12,12 - 10,129,SRB,2:09
Action shot - Blocked,3.0,2,10,HUN,4.0,MADARAS N,12,12 - 10,102,HUN,1:42
Starting goalkeeper,1.0,2,10,HUN,3.0,NAGY V,12,12 - 10,480,HUN,8:00
Starting goalkeeper,1.0,2,10,HUN,3.0,MITROVIC B,12,12 - 10,480,SRB,8:00
Sprint won possession,2.0,2,10,HUN,3.0,MANDIC D,12,12 - 10,480,SRB,8:00
Turnover foul,10.0,2,10,HUN,3.0,FILIPOVIC F,12,12 - 10,453,SRB,7:33
Steal,8.0,2,10,HUN,3.0,SZIVOS M,12,12 - 10,453,HUN,7:33
5m shot - Saved,9.0,2,10,HUN,3.0,VARGA D,12,12 - 10,425,HUN,7:05
Action shot - Saved,8.0,2,10,HUN,3.0,ALEKSIC M,12,12 - 10,396,SRB,6:36
5m shot - Saved,10.0,2,10,HUN,3.0,VARGA D,12,12 - 10,369,HUN,6:09
Turnover foul,7.0,2,10,HUN,3.0,NIKIC S,12,12 - 10,344,SRB,5:44
20 sec. exclusion in field,10.0,2,10,HUN,3.0,FILIPOVIC F,12,12 - 10,339,SRB,5:39
Action shot - Saved,3.0,2,10,HUN,3.0,MADARAS N,12,12 - 10,313,HUN,5:13
Action shot - Missed,2.0,2,10,HUN,3.0,MANDIC D,12,12 - 10,285,SRB,4:45
Turnover foul,12.0,2,10,HUN,3.0,HARAI B,12,12 - 10,268,HUN,4:28
20 sec. exclusion in centre,2.0,2,10,HUN,3.0,GOR-NAGY M,12,12 - 10,254,HUN,4:14
Exclusion with substitution,2.0,2,10,HUN,3.0,GOR-NAGY M,12,12 - 10,254,HUN,4:14
Action shot - Goal,2.0,2,5,HUN,3.0,MANDIC D,8,8 - 5,232,SRB,3:52
Action shot - Post,3.0,2,5,HUN,3.0,MADARAS N,8,8 - 5,220,HUN,3:40
Turnover foul,11.0,2,5,HUN,3.0,PRLAINOVIC A,8,8 - 5,205,SRB,3:25
Steal,5.0,2,5,HUN,3.0,VAMOS M,8,8 - 5,205,HUN,3:25
20 sec. exclusion in field,6.0,2,5,HUN,3.0,PIJETLOVIC D,8,8 - 5,202,SRB,3:22
Time-Out,,2,5,HUN,3.0,,8,8 - 5,202,HUN,3:22
Action shot - Saved,6.0,2,5,HUN,3.0,HOSNYANSZKY N,8,8 - 5,173,HUN,2:53
20 sec. exclusion in centre,6.0,2,5,HUN,3.0,HOSNYANSZKY N,8,8 - 5,148,HUN,2:28
Extra player shot - Blocked,4.0,2,5,HUN,3.0,UDOVICIC V,8,8 - 5,130,SRB,2:10
Action shot - Blocked,3.0,2,5,HUN,3.0,GOCIC Z,8,8 - 5,126,SRB,2:06
5m shot - Goal,10.0,2,6,HUN,3.0,VARGA D,8,8 - 6,108,HUN,1:48
Turnover foul,4.0,2,6,HUN,3.0,UDOVICIC V,8,8 - 6,88,SRB,1:28
Steal,5.0,2,6,HUN,3.0,VAMOS M,8,8 - 6,88,HUN,1:28
20 sec. exclusion in field,10.0,2,6,HUN,3.0,FILIPOVIC F,8,8 - 6,71,SRB,1:11
Extra player shot - Goal,5.0,2,7,HUN,3.0,VAMOS M,8,8 - 7,56,HUN,0:56
20 sec. exclusion in centre,9.0,2,7,HUN,3.0,VARGA D,8,8 - 7,39,HUN,0:39
Extra player shot - Goal,5.0,2,7,HUN,3.0,CUK M,9,9 - 7,30,SRB,0:30
Turnover foul,12.0,2,7,HUN,3.0,HARAI B,9,9 - 7,9,HUN,0:09
Steal,11.0,2,7,HUN,3.0,PRLAINOVIC A,9,9 - 7,9,SRB,0:09
Turnover foul,4.0,2,7,HUN,3.0,UDOVICIC V,9,9 - 7,6,SRB,0:06
5m shot - Blocked,8.0,2,7,HUN,3.0,SZIVOS M,9,9 - 7,1,HUN,0:01
Starting goalkeeper,1.0,2,7,HUN,4.0,MITROVIC B,9,9 - 7,480,SRB,8:00
Starting goalkeeper,1.0,2,7,HUN,4.0,NAGY V,9,9 - 7,480,HUN,8:00
Sprint won possession,2.0,2,7,HUN,4.0,MANDIC D,9,9 - 7,480,SRB,8:00
20 sec. exclusion in centre,7.0,2,7,HUN,4.0,DECKER A,9,9 - 7,456,HUN,7:36
Extra player shot - Goal,7.0,2,7,HUN,4.0,NIKIC S,10,10 - 7,446,SRB,7:26
Turnover foul,8.0,2,7,HUN,4.0,SZIVOS M,10,10 - 7,427,HUN,7:07
Penalty foul,4.0,2,7,HUN,4.0,BATORI B,10,10 - 7,412,HUN,6:52
Penalty shot - Goal,11.0,2,7,HUN,4.0,PRLAINOVIC A,11,11 - 7,412,SRB,6:52
20 sec. exclusion in centre,5.0,2,7,HUN,4.0,CUK M,11,11 - 7,393,SRB,6:33
Extra player shot - Blocked,3.0,2,7,HUN,4.0,MADARAS N,11,11 - 7,377,HUN,6:17
Centre shot - Saved,8.0,2,7,HUN,4.0,SZIVOS M,11,11 - 7,367,HUN,6:07
Action shot - Blocked,4.0,2,7,HUN,4.0,UDOVICIC V,11,11 - 7,345,SRB,5:45
5m shot - Post,10.0,2,7,HUN,4.0,VARGA D,11,11 - 7,315,HUN,5:15
Action shot - Goal,3.0,2,8,HUN,4.0,MADARAS N,11,11 - 8,303,HUN,5:03
5m shot - Post,10.0,2,8,HUN,4.0,FILIPOVIC F,11,11 - 8,287,SRB,4:47
20 sec. exclusion in centre,3.0,2,8,HUN,4.0,GOCIC Z,11,11 - 8,270,SRB,4:30
Exclusion with substitution,3.0,2,8,HUN,4.0,GOCIC Z,11,11 - 8,270,SRB,4:30
Extra player shot - Goal,10.0,2,9,HUN,4.0,VARGA D,11,11 - 9,262,HUN,4:22
Turnover foul,7.0,2,9,HUN,4.0,NIKIC S,11,11 - 9,240,SRB,4:00
Steal,10.0,2,9,HUN,4.0,VARGA D,11,11 - 9,240,HUN,4:00
Action shot - Goal,12.0,2,10,HUN,4.0,HARAI B,11,11 - 10,217,HUN,3:37
Time-Out,,2,10,HUN,4.0,,11,11 - 10,217,SRB,3:37
Double exclusion,7.0,2,10,HUN,4.0,DECKER A,11,11 - 10,209,HUN,3:29
Exclusion with substitution,7.0,2,10,HUN,4.0,DECKER A,11,11 - 10,209,HUN,3:29
Double exclusion,6.0,2,10,HUN,4.0,PIJETLOVIC D,11,11 - 10,209,SRB,3:29
Exclusion with substitution,6.0,2,10,HUN,4.0,PIJETLOVIC D,11,11 - 10,209,SRB,3:29
20 sec. exclusion in centre,12.0,2,10,HUN,4.0,HARAI B,11,11 - 10,191,HUN,3:11
20 sec. exclusion in field,11.0,2,10,HUN,4.0,BEDO K,11,11 - 10,82,HUN,1:22
Extra player shot - Goal,7.0,2,10,HUN,4.0,NIKIC S,13,13 - 10,64,SRB,1:04
5m shot - Saved,9.0,2,10,HUN,4.0,VARGA D,13,13 - 10,34,HUN,0:34
5m shot - Missed,8.0,2,10,HUN,4.0,SZIVOS M,13,13 - 10,1,HUN,0:01
Starting goalkeeper,13.0,3,0,CHN,1.0,WU H,0,0 - 0,480,CHN,8:00
Starting goalkeeper,13.0,3,0,CHN,1.0,PIJETLOVIC G,0,0 - 0,480,SRB,8:00
Sprint won possession,11.0,3,0,CHN,1.0,ZHANG C,0,0 - 0,480,CHN,8:00
Turnover foul,12.0,3,0,CHN,1.0,LIANG N,0,0 - 0,451,CHN,7:31
Steal,6.0,3,0,CHN,1.0,PIJETLOVIC D,0,0 - 0,451,SRB,7:31
Turnover foul,6.0,3,0,CHN,1.0,PIJETLOVIC D,0,0 - 0,434,SRB,7:14
Steal,3.0,3,0,CHN,1.0,LIANG Z,0,0 - 0,434,CHN,7:14
5m shot - Saved,7.0,3,0,CHN,1.0,LI B,0,0 - 0,407,CHN,6:47
Turnover foul,9.0,3,0,CHN,1.0,RADEN N,0,0 - 0,389,SRB,6:29
Steal,11.0,3,0,CHN,1.0,ZHANG C,0,0 - 0,389,CHN,6:29
5m shot - Post,11.0,3,0,CHN,1.0,ZHANG C,0,0 - 0,375,CHN,6:15
Counter attack - Goal,10.0,3,0,CHN,1.0,FILIPOVIC F,1,1 - 0,357,SRB,5:57
Action shot - Goal,6.0,3,1,CHN,1.0,PAN N,1,1 - 1,328,CHN,5:28
Turnover foul,2.0,3,1,CHN,1.0,MANDIC D,1,1 - 1,308,SRB,5:08
Steal,13.0,3,1,CHN,1.0,WU H,1,1 - 1,308,CHN,5:08
5m shot - Missed,5.0,3,1,CHN,1.0,GUO J,1,1 - 1,288,CHN,4:48
Turnover foul,6.0,3,1,CHN,1.0,PIJETLOVIC D,1,1 - 1,266,SRB,4:26
5m shot - Post,3.0,3,1,CHN,1.0,LIANG Z,1,1 - 1,239,CHN,3:59
Counter attack - Goal,4.0,3,1,CHN,1.0,UDOVICIC V,2,2 - 1,227,SRB,3:47
20 sec. exclusion in field,10.0,3,1,CHN,1.0,FILIPOVIC F,2,2 - 1,202,SRB,3:22
Extra player shot - Goal,9.0,3,2,CHN,1.0,XIE J,2,2 - 2,186,CHN,3:06
