Action,CHN,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
5m shot,1,4.0,4,1,RUS,1.0,DONG T,1 - 1,311,CHN,5:11,Post,0
Action shot,1,10.0,4,2,RUS,1.0,KHOLOD D,1 - 2,162,RUS,2:42,Goal,1
Action shot,1,9.0,4,2,RUS,1.0,STEPANIUK K,1 - 2,103,RUS,1:43,Blocked,0
Extra player shot,1,7.0,4,3,RUS,2.0,TIMAKOV V,1 - 3,460,RUS,7:40,Goal,1
Penalty shot,1,9.0,4,4,RUS,2.0,STEPANIUK K,1 - 4,445,RUS,7:25,Goal,1
Action shot,1,4.0,4,4,RUS,2.0,DONG T,1 - 4,352,CHN,5:52,Saved,0
Action shot,2,2.0,4,4,RUS,2.0,TAN F,2 - 4,348,CHN,5:48,Goal,1
Action shot,2,7.0,4,4,RUS,2.0,TIMAKOV V,2 - 4,334,RUS,5:34,Missed,0
Counter attack,2,10.0,4,4,RUS,2.0,CHEN J,2 - 4,324,CHN,5:24,Saved,0
Action shot,2,5.0,4,4,RUS,2.0,LU W,2 - 4,299,CHN,4:59,Saved,0
Action shot,3,4.0,4,4,RUS,2.0,DONG T,3 - 4,251,CHN,4:11,Goal,1
Centre shot,3,11.0,4,5,RUS,2.0,LISUNOV S,3 - 5,225,RUS,3:45,Goal,1
Action shot,3,4.0,4,5,RUS,2.0,BYCHKOV I,3 - 5,188,RUS,3:08,Post,0
Counter attack,4,6.0,4,5,RUS,2.0,LI L,4 - 5,174,CHN,2:54,Goal,1
Extra player shot,4,3.0,4,6,RUS,2.0,ODINTSOV A,4 - 6,142,RUS,2:22,Goal,1
Action shot,4,11.0,4,6,RUS,2.0,ZHANG C,4 - 6,111,CHN,1:51,Post,0
Extra player shot,5,11.0,4,6,RUS,2.0,ZHANG C,5 - 6,34,CHN,0:34,Goal,1
5m shot,5,5.0,4,6,RUS,2.0,LU W,5 - 6,0,CHN,0:00,Saved,0
5m shot,5,11.0,4,6,RUS,4.0,ZHANG C,5 - 6,35,CHN,0:35,Saved,0
Extra player shot,10,4.0,4,10,RUS,4.0,DONG T,10 - 10,1,CHN,0:01,Goal,1
5m shot,10,9.0,4,10,RUS,4.0,STEPANIUK K,10 - 10,0,RUS,0:00,Blocked,0
Extra player shot,10,2.0,4,10,RUS,3.0,BUGAYCHUK A,10 - 10,448,RUS,7:28,Saved,0
5m shot,10,6.0,4,10,RUS,3.0,LI L,10 - 10,425,CHN,7:05,Missed,0
Counter attack,10,10.0,4,10,RUS,3.0,CHEN J,10 - 10,389,CHN,6:29,Post,0
Action shot,10,4.0,4,10,RUS,3.0,DONG T,10 - 10,372,CHN,6:12,Missed,0
5m shot,10,2.0,4,10,RUS,3.0,BUGAYCHUK A,10 - 10,341,RUS,5:41,Saved,0
5m shot,10,5.0,4,10,RUS,3.0,LU W,10 - 10,313,CHN,5:13,Blocked,0
Extra player shot,5,3.0,4,7,RUS,3.0,ODINTSOV A,5 - 7,283,RUS,4:43,Goal,1
5m shot,5,6.0,4,7,RUS,3.0,LI L,5 - 7,257,CHN,4:17,Missed,0
5m shot,5,8.0,4,7,RUS,3.0,NAGAEV I,5 - 7,227,RUS,3:47,Post,0
Action shot,5,11.0,4,7,RUS,3.0,ZHANG C,5 - 7,213,CHN,3:33,Blocked,0
Extra player shot,5,10.0,4,7,RUS,3.0,KHOLOD D,5 - 7,172,RUS,2:52,Saved,0
Action shot,5,10.0,4,7,RUS,3.0,CHEN J,5 - 7,136,CHN,2:16,Saved,0
Extra player shot,5,4.0,4,7,RUS,3.0,DONG T,5 - 7,92,CHN,1:32,Missed,0
Extra player shot,6,5.0,4,7,RUS,3.0,LU W,6 - 7,54,CHN,0:54,Goal,1
Counter attack,7,2.0,4,7,RUS,3.0,TAN F,7 - 7,2,CHN,0:02,Goal,1
5m shot,7,9.0,4,7,RUS,3.0,STEPANIUK K,7 - 7,0,RUS,0:00,Missed,0
Centre shot,7,11.0,4,7,RUS,4.0,ZHANG C,7 - 7,456,CHN,7:36,Saved,0
Action shot,7,8.0,4,8,RUS,4.0,NAGAEV I,7 - 8,434,RUS,7:14,Goal,1
Counter attack,7,8.0,4,8,RUS,4.0,NAGAEV I,7 - 8,387,RUS,6:27,Post,0
Counter attack,8,2.0,4,8,RUS,4.0,TAN F,8 - 8,364,CHN,6:04,Goal,1
Extra player shot,8,11.0,4,9,RUS,4.0,LISUNOV S,8 - 9,330,RUS,5:30,Goal,1
5m shot,8,3.0,4,9,RUS,4.0,HU Z,8 - 9,301,CHN,5:01,Saved,0
Action shot,8,6.0,4,9,RUS,4.0,LI L,8 - 9,250,CHN,4:10,Missed,0
5m shot,8,3.0,4,9,RUS,4.0,HU Z,8 - 9,214,CHN,3:34,Missed,0
Extra player shot,8,9.0,4,10,RUS,4.0,STEPANIUK K,8 - 10,138,RUS,2:18,Goal,1
Action shot,8,4.0,4,10,RUS,4.0,DONG T,8 - 10,101,CHN,1:41,Saved,0
Action shot,9,4.0,4,10,RUS,4.0,DONG T,9 - 10,91,CHN,1:31,Goal,1
Action shot,1,11.0,5,0,ARG,1.0,ZHANG C,1 - 0,370,CHN,6:10,Goal,1
Extra player shot,2,6.0,5,0,ARG,1.0,LI L,2 - 0,305,CHN,5:05,Goal,1
Action shot,3,12.0,5,0,ARG,1.0,LIANG N,3 - 0,227,CHN,3:47,Goal,1
5m shot,3,9.0,5,0,ARG,1.0,CARABANTES I,3 - 0,202,ARG,3:22,Saved,0
5m shot,4,11.0,5,0,ARG,1.0,ZHANG C,4 - 0,184,CHN,3:04,Goal,1
Action shot,4,11.0,5,0,ARG,1.0,DEMARCHI F,4 - 0,162,ARG,2:42,Saved,0
Counter attack,5,9.0,5,0,ARG,1.0,XIE Z,5 - 0,151,CHN,2:31,Goal,1
5m shot,5,12.0,5,1,ARG,1.0,YANEZ G,5 - 1,137,ARG,2:17,Goal,1
Action shot,5,4.0,5,1,ARG,1.0,DONG T,5 - 1,111,CHN,1:51,Saved,0
Extra player shot,5,12.0,5,2,ARG,1.0,YANEZ G,5 - 2,89,ARG,1:29,Goal,1
Action shot,5,9.0,5,2,ARG,1.0,XIE Z,5 - 2,41,CHN,0:41,Post,0
5m shot,5,11.0,5,2,ARG,1.0,ZHANG C,5 - 2,26,CHN,0:26,Blocked,0
Centre shot,6,12.0,5,2,ARG,1.0,LIANG N,6 - 2,12,CHN,0:12,Goal,1
5m shot,6,2.0,5,2,ARG,1.0,VEICH R,6 - 2,0,ARG,0:00,Saved,0
Centre shot,6,2.0,5,3,ARG,2.0,VEICH R,6 - 3,442,ARG,7:22,Goal,1
Action shot,6,10.0,5,3,ARG,2.0,CHEN J,6 - 3,422,CHN,7:02,Blocked,0
