Action,Cap,Game,Opponent,Opponent name,Period,Player,RSA,Score,Seconds,Team,Time
Turnover foul,4.0,2,12,NZL,4.0,RAWSTRON C,6,6 - 12,146,RSA,2:26
Steal,11.0,2,12,NZL,4.0,HUDSON K,6,6 - 12,146,NZL,2:26
Action shot - Goal,7.0,2,13,NZL,4.0,LANDRY S,6,6 - 13,125,NZL,2:05
20 sec. exclusion in field,11.0,2,13,NZL,4.0,HUDSON K,6,6 - 13,110,NZL,1:50
Action shot - Goal,12.0,2,13,NZL,4.0,WHITE K,7,7 - 13,84,RSA,1:24
5m shot - Missed,9.0,2,13,NZL,4.0,SIEPRATH L,7,7 - 13,56,NZL,0:56
Time-Out,,2,13,NZL,4.0,,7,7 - 13,52,RSA,0:52
Turnover foul,2.0,2,13,NZL,4.0,SCHMIDT K,7,7 - 13,38,RSA,0:38
Steal,5.0,2,13,NZL,4.0,BOYD A,7,7 - 13,38,NZL,0:38
20 sec. exclusion in centre,8.0,2,13,NZL,4.0,KEET L,7,7 - 13,11,RSA,0:11
Time-Out,,2,13,NZL,4.0,,7,7 - 13,11,NZL,0:11
Starting goalkeeper,1.0,3,0,AUS,1.0,JACOBS A,0,0 - 0,480,RSA,8:00
Starting goalkeeper,1.0,3,0,AUS,1.0,BARTA L,0,0 - 0,480,AUS,8:00
Sprint won possession,11.0,3,0,AUS,1.0,GOFERS K,0,0 - 0,480,AUS,8:00
Turnover foul,2.0,3,0,AUS,1.0,APPEL J,0,0 - 0,454,AUS,7:34
Steal,8.0,3,0,AUS,1.0,KEET L,0,0 - 0,454,RSA,7:34
