Action,Cap,Game,HUN,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Turnover foul,10.0,6,1,2,ESP,1.0,BUJKA B,2 - 1,355,HUN,5:55
Steal,8.0,6,1,2,ESP,1.0,PENA P,2 - 1,355,ESP,5:55
20 sec. exclusion in centre,11.0,6,1,2,ESP,1.0,GARDA K,2 - 1,333,HUN,5:33
Extra player shot - Blocked,6.0,6,1,2,ESP,1.0,PAREJA J,2 - 1,313,ESP,5:13
Centre shot - Goal,10.0,6,2,2,ESP,1.0,BUJKA B,2 - 2,287,HUN,4:47
20 sec. exclusion in centre,2.0,6,2,2,ESP,1.0,ILLES A,2 - 2,273,HUN,4:33
Action shot - Goal,3.0,6,2,3,ESP,1.0,ESPAR A,3 - 2,252,ESP,4:12
Turnover foul,6.0,6,2,3,ESP,1.0,TAKACS O,3 - 2,233,HUN,3:53
Steal,8.0,6,2,3,ESP,1.0,PENA P,3 - 2,233,ESP,3:53
5m shot - Goal,6.0,6,2,4,ESP,1.0,PAREJA J,4 - 2,206,ESP,3:26
Goalkeeper substitution,1.0,6,2,4,ESP,1.0,BOLONYAI F,4 - 2,206,HUN,3:26
Turnover foul,3.0,6,2,4,ESP,1.0,ANTAL D,4 - 2,185,HUN,3:05
Steal,8.0,6,2,4,ESP,1.0,PENA P,4 - 2,185,ESP,3:05
Turnover foul,9.0,6,2,4,ESP,1.0,BLAS A,4 - 2,173,ESP,2:53
Steal,5.0,6,2,4,ESP,1.0,SZUCS G,4 - 2,173,HUN,2:53
Turnover foul,10.0,6,2,4,ESP,1.0,BUJKA B,4 - 2,144,HUN,2:24
Turnover foul,9.0,6,2,4,ESP,1.0,BLAS A,4 - 2,129,ESP,2:09
20 sec. exclusion in centre,12.0,6,2,4,ESP,1.0,LOPEZ L,4 - 2,120,ESP,2:00
Extra player shot - Goal,3.0,6,3,4,ESP,1.0,ANTAL D,4 - 3,105,HUN,1:45
20 sec. exclusion in centre,11.0,6,3,4,ESP,1.0,GARDA K,4 - 3,91,HUN,1:31
Turnover foul,11.0,6,3,4,ESP,1.0,GARCIA GODOY M,4 - 3,67,ESP,1:07
20 sec. exclusion in centre,4.0,6,3,4,ESP,1.0,TARRAGO R,4 - 3,53,ESP,0:53
Extra player shot - Goal,4.0,6,4,4,ESP,1.0,KISTELEKI D,4 - 4,50,HUN,0:50
Centre shot - Saved,11.0,6,4,4,ESP,1.0,GARCIA GODOY M,4 - 4,35,ESP,0:35
Action shot - Goal,8.0,6,5,4,ESP,1.0,KESZTHELYI R,4 - 5,19,HUN,0:19
20 sec. exclusion in centre,2.0,6,5,4,ESP,1.0,ILLES A,4 - 5,13,HUN,0:13
Extra player shot - Goal,3.0,6,5,5,ESP,1.0,ESPAR A,5 - 5,7,ESP,0:07
5m shot - Missed,2.0,6,5,5,ESP,1.0,ILLES A,5 - 5,1,HUN,0:01
Starting goalkeeper,1.0,6,5,5,ESP,2.0,ESTER L,5 - 5,480,ESP,8:00
Starting goalkeeper,1.0,6,5,5,ESP,2.0,BOLONYAI F,5 - 5,480,HUN,8:00
Sprint won possession,6.0,6,5,5,ESP,2.0,PAREJA J,5 - 5,480,ESP,8:00
Turnover foul,8.0,6,5,5,ESP,2.0,PENA P,5 - 5,452,ESP,7:32
Steal,5.0,6,5,5,ESP,2.0,SZUCS G,5 - 5,452,HUN,7:32
5m shot - Goal,5.0,6,6,5,ESP,2.0,SZUCS G,5 - 6,428,HUN,7:08
20 sec. exclusion in centre,9.0,6,6,5,ESP,2.0,TOTH I,5 - 6,414,HUN,6:54
Action shot - Post,8.0,6,6,5,ESP,2.0,PENA P,5 - 6,390,ESP,6:30
5m shot - Post,8.0,6,6,5,ESP,2.0,KESZTHELYI R,5 - 6,375,HUN,6:15
Action shot - Post,6.0,6,6,5,ESP,2.0,PAREJA J,5 - 6,345,ESP,5:45
Action shot - Saved,7.0,6,6,5,ESP,2.0,MISKOLCZI I,5 - 6,318,HUN,5:18
20 sec. exclusion in field,7.0,6,6,5,ESP,2.0,MISKOLCZI I,5 - 6,308,HUN,5:08
Extra player shot - Goal,5.0,6,6,6,ESP,2.0,ORTIZ M,6 - 6,295,ESP,4:55
Turnover foul,8.0,6,6,6,ESP,2.0,KESZTHELYI R,6 - 6,281,HUN,4:41
Steal,4.0,6,6,6,ESP,2.0,TARRAGO R,6 - 6,281,ESP,4:41
Counter attack - Goal,4.0,6,6,7,ESP,2.0,TARRAGO R,7 - 6,273,ESP,4:33
5m shot - Goal,3.0,6,7,7,ESP,2.0,ANTAL D,7 - 7,251,HUN,4:11
Penalty foul,5.0,6,7,7,ESP,2.0,SZUCS G,7 - 7,239,HUN,3:59
Penalty shot - Goal,6.0,6,7,8,ESP,2.0,PAREJA J,8 - 7,239,ESP,3:59
20 sec. exclusion in centre,7.0,6,7,8,ESP,2.0,MIRANDA L,8 - 7,228,ESP,3:48
Extra player shot - Goal,3.0,6,8,8,ESP,2.0,ANTAL D,8 - 8,211,HUN,3:31
20 sec. exclusion in centre,10.0,6,8,8,ESP,2.0,BUJKA B,8 - 8,194,HUN,3:14
Extra player shot - Saved,8.0,6,8,8,ESP,2.0,PENA P,8 - 8,175,ESP,2:55
Action shot - Saved,7.0,6,8,8,ESP,2.0,MISKOLCZI I,8 - 8,148,HUN,2:28
Exclusion with substitution,6.0,6,8,8,ESP,4.0,TAKACS O,8 - 8,384,HUN,6:24
Extra player shot - Missed,6.0,6,8,8,ESP,4.0,PAREJA J,8 - 8,365,ESP,6:05
Turnover foul,4.0,6,8,8,ESP,4.0,KISTELEKI D,8 - 8,349,HUN,5:49
Steal,6.0,6,8,8,ESP,4.0,PAREJA J,8 - 8,349,ESP,5:49
Turnover foul,6.0,6,8,8,ESP,4.0,PAREJA J,8 - 8,326,ESP,5:26
Turnover foul,10.0,6,8,8,ESP,4.0,BUJKA B,8 - 8,316,HUN,5:16
20 sec. exclusion in centre,3.0,6,8,8,ESP,4.0,ANTAL D,8 - 8,300,HUN,5:00
Extra player shot - Goal,12.0,6,12,12,ESP,4.0,LOPEZ L,12 - 12,292,ESP,4:52
20 sec. exclusion in centre,5.0,6,12,12,ESP,4.0,ORTIZ M,12 - 12,279,ESP,4:39
Exclusion with substitution,5.0,6,12,12,ESP,4.0,ORTIZ M,12 - 12,279,ESP,4:39
Extra player shot - Saved,10.0,6,12,12,ESP,4.0,BUJKA B,12 - 12,265,HUN,4:25
20 sec. exclusion in centre,4.0,6,12,12,ESP,4.0,KISTELEKI D,12 - 12,239,HUN,3:59
Extra player shot - Blocked,4.0,6,12,12,ESP,4.0,TARRAGO R,12 - 12,211,ESP,3:31
20 sec. exclusion in centre,9.0,6,12,12,ESP,4.0,TOTH I,12 - 12,198,HUN,3:18
Exclusion with substitution,9.0,6,12,12,ESP,4.0,TOTH I,12 - 12,198,HUN,3:18
5m shot - Missed,4.0,6,12,12,ESP,2.0,TARRAGO R,12 - 12,120,ESP,2:00
20 sec. exclusion in field,4.0,6,12,12,ESP,2.0,TARRAGO R,12 - 12,120,ESP,2:00
Action shot - Goal,4.0,6,9,8,ESP,2.0,KISTELEKI D,8 - 9,98,HUN,1:38
Turnover foul,11.0,6,9,8,ESP,2.0,GARCIA GODOY M,8 - 9,92,ESP,1:32
5m shot - Missed,5.0,6,9,8,ESP,2.0,SZUCS G,8 - 9,78,HUN,1:18
20 sec. exclusion in field,9.0,6,9,8,ESP,2.0,TOTH I,8 - 9,77,HUN,1:17
Extra player shot - Goal,12.0,6,9,9,ESP,2.0,LOPEZ L,9 - 9,58,ESP,0:58
20 sec. exclusion in centre,5.0,6,9,9,ESP,2.0,ORTIZ M,9 - 9,38,ESP,0:38
Extra player shot - Post,4.0,6,9,9,ESP,2.0,KISTELEKI D,9 - 9,22,HUN,0:22
20 sec. exclusion in centre,3.0,6,9,9,ESP,2.0,ANTAL D,9 - 9,7,HUN,0:07
Extra player shot - Missed,12.0,6,9,9,ESP,2.0,LOPEZ L,9 - 9,1,ESP,0:01
Starting goalkeeper,1.0,6,9,9,ESP,3.0,BOLONYAI F,9 - 9,480,HUN,8:00
Starting goalkeeper,1.0,6,9,9,ESP,3.0,ESTER L,9 - 9,480,ESP,8:00
Sprint won possession,6.0,6,9,9,ESP,3.0,PAREJA J,9 - 9,480,ESP,8:00
Turnover foul,11.0,6,9,9,ESP,3.0,GARCIA GODOY M,9 - 9,455,ESP,7:35
Steal,3.0,6,9,9,ESP,3.0,ANTAL D,9 - 9,455,HUN,7:35
Turnover foul,10.0,6,9,9,ESP,3.0,BUJKA B,9 - 9,430,HUN,7:10
Steal,2.0,6,9,9,ESP,3.0,BACH M,9 - 9,430,ESP,7:10
Turnover foul,11.0,6,9,9,ESP,3.0,GARCIA GODOY M,9 - 9,410,ESP,6:50
20 sec. exclusion in centre,2.0,6,9,9,ESP,3.0,BACH M,9 - 9,395,ESP,6:35
Action shot - Post,8.0,6,9,9,ESP,3.0,KESZTHELYI R,9 - 9,373,HUN,6:13
20 sec. exclusion in centre,6.0,6,9,9,ESP,3.0,TAKACS O,9 - 9,350,HUN,5:50
Extra player shot - Saved,5.0,6,9,9,ESP,3.0,ORTIZ M,9 - 9,333,ESP,5:33
Centre shot - Goal,10.0,6,10,9,ESP,3.0,BUJKA B,9 - 10,315,HUN,5:15
Turnover foul,9.0,6,10,9,ESP,3.0,BLAS A,9 - 10,297,ESP,4:57
Steal,3.0,6,10,9,ESP,3.0,ANTAL D,9 - 10,297,HUN,4:57
Penalty foul,5.0,6,10,9,ESP,3.0,ORTIZ M,9 - 10,278,ESP,4:38
Penalty shot - Goal,3.0,6,11,9,ESP,3.0,ANTAL D,9 - 11,278,HUN,4:38
Turnover foul,11.0,6,11,9,ESP,3.0,GARCIA GODOY M,9 - 11,260,ESP,4:20
Steal,7.0,6,11,9,ESP,3.0,MISKOLCZI I,9 - 11,260,HUN,4:20
Turnover foul,8.0,6,11,9,ESP,3.0,KESZTHELYI R,9 - 11,237,HUN,3:57
Steal,6.0,6,11,9,ESP,3.0,PAREJA J,9 - 11,237,ESP,3:57
Turnover foul,11.0,6,11,9,ESP,3.0,GARCIA GODOY M,9 - 11,215,ESP,3:35
Steal,3.0,6,11,9,ESP,3.0,ANTAL D,9 - 11,215,HUN,3:35
5m shot - Goal,8.0,6,12,9,ESP,3.0,KESZTHELYI R,9 - 12,194,HUN,3:14
Time-Out,,6,12,9,ESP,3.0,,9 - 12,194,ESP,3:14
Centre shot - Goal,11.0,6,12,10,ESP,3.0,GARCIA GODOY M,10 - 12,184,ESP,3:04
