Action,CAN,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Sprint won possession,3,8.0,5,8,RUS,3.0,PERREAULT D,8 - 3,480,CAN,8:00
20 sec. exclusion in field,3,4.0,5,8,RUS,3.0,KARIMOVA E,8 - 3,465,RUS,7:45
Extra player shot - Goal,4,5.0,5,8,RUS,3.0,EGGENS M,8 - 4,452,CAN,7:32
Action shot - Saved,4,12.0,5,8,RUS,3.0,ZELENTSOVA E,8 - 4,428,RUS,7:08
20 sec. exclusion in field,4,4.0,5,8,RUS,3.0,WRIGHT E,8 - 4,426,CAN,7:06
Extra player shot - Goal,4,10.0,5,9,RUS,3.0,BELIAEVA O,9 - 4,407,RUS,6:47
Turnover foul,4,2.0,5,9,RUS,3.0,ALOGBO K,9 - 4,381,CAN,6:21
Steal,4,13.0,5,9,RUS,3.0,KARNAUKH A,9 - 4,381,RUS,6:21
Turnover foul,4,10.0,5,9,RUS,3.0,BELIAEVA O,9 - 4,356,RUS,5:56
Steal,4,1.0,5,9,RUS,3.0,RELTON M,9 - 4,356,CAN,5:56
Turnover foul,4,2.0,5,9,RUS,3.0,ALOGBO K,9 - 4,340,CAN,5:40
Counter attack - Goal,4,6.0,5,10,RUS,3.0,BELOVA O,10 - 4,331,RUS,5:31
Turnover foul,4,3.0,5,10,RUS,3.0,MONTON K,10 - 4,315,CAN,5:15
Steal,4,12.0,5,10,RUS,3.0,ZELENTSOVA E,10 - 4,315,RUS,5:15
Action shot - Blocked,4,4.0,5,10,RUS,3.0,KARIMOVA E,10 - 4,288,RUS,4:48
Penalty foul,4,12.0,5,10,RUS,3.0,ZELENTSOVA E,10 - 4,268,RUS,4:28
Penalty shot - Goal,5,7.0,5,10,RUS,3.0,BEKHAZI J,10 - 5,268,CAN,4:28
Time-Out,5,,5,10,RUS,3.0,,10 - 5,253,RUS,4:13
5m shot - Saved,5,8.0,5,10,RUS,3.0,GRINEVA A,10 - 5,239,RUS,3:59
5m shot - Goal,5,11.0,5,11,RUS,3.0,IVANOVA E,11 - 5,221,RUS,3:41
Centre shot - Goal,6,3.0,5,11,RUS,3.0,MONTON K,11 - 6,192,CAN,3:12
5m shot - Goal,6,5.0,5,12,RUS,3.0,ANTONOVA A,12 - 6,164,RUS,2:44
20 sec. exclusion in centre,6,10.0,5,12,RUS,3.0,BELIAEVA O,12 - 6,147,RUS,2:27
Time-Out,6,,5,12,RUS,3.0,,12 - 6,147,CAN,2:27
Extra player shot - Saved,6,7.0,5,12,RUS,3.0,BEKHAZI J,12 - 6,129,CAN,2:09
Action shot - Missed,6,5.0,5,12,RUS,3.0,EGGENS M,12 - 6,120,CAN,2:00
Action shot - Blocked,6,2.0,5,12,RUS,3.0,ANTONOVA D,12 - 6,93,RUS,1:33
Turnover foul,6,10.0,5,12,RUS,3.0,ROBINSON C,12 - 6,75,CAN,1:15
Steal,6,5.0,5,12,RUS,3.0,ANTONOVA A,12 - 6,75,RUS,1:15
20 sec. exclusion in field,6,4.0,5,12,RUS,3.0,WRIGHT E,12 - 6,59,CAN,0:59
Turnover foul,6,3.0,5,12,RUS,3.0,PROKOFYEVA E,12 - 6,32,RUS,0:32
Steal,6,11.0,5,12,RUS,3.0,VALIN S,12 - 6,32,CAN,0:32
Counter attack - Goal,7,7.0,5,12,RUS,3.0,BEKHAZI J,12 - 7,17,CAN,0:17
Starting goalkeeper,7,13.0,5,12,RUS,4.0,KARNAUKH A,12 - 7,480,RUS,8:00
Starting goalkeeper,7,1.0,5,12,RUS,4.0,RELTON M,12 - 7,480,CAN,8:00
Sprint won possession,7,8.0,5,12,RUS,4.0,PERREAULT D,12 - 7,480,CAN,8:00
Turnover foul,7,3.0,5,12,RUS,4.0,MONTON K,12 - 7,453,CAN,7:33
Steal,7,11.0,5,12,RUS,4.0,IVANOVA E,12 - 7,453,RUS,7:33
Action shot - Post,7,5.0,5,12,RUS,4.0,ANTONOVA A,12 - 7,426,RUS,7:06
Action shot - Goal,7,3.0,5,13,RUS,4.0,PROKOFYEVA E,13 - 7,376,RUS,6:16
Centre shot - Goal,8,2.0,5,13,RUS,4.0,ALOGBO K,13 - 8,363,CAN,6:03
Centre shot - Post,8,6.0,5,13,RUS,4.0,BELOVA O,13 - 8,346,RUS,5:46
Turnover foul,8,6.0,5,13,RUS,4.0,BARON la SALLE S,13 - 8,324,CAN,5:24
Steal,8,13.0,5,13,RUS,4.0,KARNAUKH A,13 - 8,324,RUS,5:24
Turnover foul,8,7.0,5,13,RUS,4.0,TANKEEVA E,13 - 8,298,RUS,4:58
5m shot - Saved,8,11.0,5,13,RUS,4.0,VALIN S,13 - 8,272,CAN,4:32
20 sec. exclusion in centre,8,12.0,5,13,RUS,4.0,RADU M,13 - 8,249,CAN,4:09
Extra player shot - Goal,8,11.0,5,14,RUS,4.0,IVANOVA E,14 - 8,233,RUS,3:53
5m shot - Post,8,5.0,5,14,RUS,4.0,EGGENS M,14 - 8,217,CAN,3:37
20 sec. exclusion in centre,8,9.0,5,14,RUS,4.0,EGGENS C,14 - 8,191,CAN,3:11
Extra player shot - Saved,8,3.0,5,14,RUS,4.0,PROKOFYEVA E,14 - 8,182,RUS,3:02
Extra player shot - Goal,8,4.0,5,15,RUS,4.0,KARIMOVA E,15 - 8,180,RUS,3:00
Goalkeeper substitution,8,1.0,5,15,RUS,4.0,USTYUKHINA A,15 - 8,180,RUS,3:00
20 sec. exclusion in centre,8,12.0,5,15,RUS,4.0,ZELENTSOVA E,15 - 8,166,RUS,2:46
Extra player shot - Blocked,8,12.0,5,15,RUS,4.0,RADU M,15 - 8,149,CAN,2:29
Action shot - Goal,9,7.0,5,15,RUS,4.0,BEKHAZI J,15 - 9,142,CAN,2:22
5m shot - Goal,9,3.0,5,16,RUS,4.0,PROKOFYEVA E,16 - 9,117,RUS,1:57
Centre shot - Saved,9,6.0,5,16,RUS,4.0,BARON la SALLE S,16 - 9,95,CAN,1:35
Centre shot - Goal,9,4.0,5,17,RUS,4.0,KARIMOVA E,17 - 9,68,RUS,1:08
5m shot - Blocked,9,5.0,5,17,RUS,4.0,EGGENS M,17 - 9,49,CAN,0:49
5m shot - Missed,9,12.0,5,17,RUS,4.0,ZELENTSOVA E,17 - 9,26,RUS,0:26
5m shot - Missed,9,5.0,5,17,RUS,4.0,EGGENS M,17 - 9,2,CAN,0:02
Starting goalkeeper,0,1.0,6,0,GRE,1.0,KOUVDOU E,0 - 0,480,GRE,8:00
Starting goalkeeper,0,1.0,6,0,GRE,1.0,RELTON M,0 - 0,480,CAN,8:00
Sprint won possession,0,8.0,6,0,GRE,1.0,PERREAULT D,0 - 0,480,CAN,8:00
20 sec. exclusion in centre,0,2.0,6,0,GRE,1.0,TSOUKALA C,0 - 0,469,GRE,7:49
Extra player shot - Missed,0,8.0,6,0,GRE,1.0,PERREAULT D,0 - 0,453,CAN,7:33
20 sec. exclusion in centre,0,5.0,6,0,GRE,1.0,EGGENS M,0 - 0,430,CAN,7:10
Extra player shot - Goal,0,7.0,6,1,GRE,1.0,ASIMAKI A,0 - 1,415,GRE,6:55
Centre shot - Missed,0,2.0,6,1,GRE,1.0,ALOGBO K,0 - 1,403,CAN,6:43
Turnover foul,0,7.0,6,1,GRE,1.0,ASIMAKI A,0 - 1,390,GRE,6:30
Action shot - Blocked,0,4.0,6,1,GRE,1.0,WRIGHT E,0 - 1,372,CAN,6:12
Action shot - Missed,0,10.0,6,1,GRE,1.0,MANOLIOUDAKI T,0 - 1,348,GRE,5:48
Action shot - Saved,0,8.0,6,1,GRE,1.0,PERREAULT D,0 - 1,322,CAN,5:22
20 sec. exclusion in centre,0,9.0,6,1,GRE,1.0,EGGENS C,0 - 1,302,CAN,5:02
Extra player shot - Goal,0,6.0,6,2,GRE,1.0,AVRAMIDOU A,0 - 2,301,GRE,5:01
20 sec. exclusion in centre,0,3.0,6,2,GRE,1.0,DIAMANTOPOULOU V,0 - 2,279,GRE,4:39
Extra player shot - Goal,1,12.0,6,2,GRE,1.0,RADU M,1 - 2,273,CAN,4:33
Action shot - Goal,1,10.0,6,3,GRE,1.0,MANOLIOUDAKI T,1 - 3,245,GRE,4:05
Action shot - Missed,1,4.0,6,3,GRE,1.0,WRIGHT E,1 - 3,228,CAN,3:48
Action shot - Goal,1,2.0,6,4,GRE,1.0,TSOUKALA C,1 - 4,207,GRE,3:27
Turnover foul,1,10.0,6,4,GRE,1.0,ROBINSON C,1 - 4,200,CAN,3:20
Action shot - Goal,1,8.0,6,5,GRE,1.0,ROUMPESI A,1 - 5,190,GRE,3:10
20 sec. exclusion in centre,1,4.0,6,5,GRE,1.0,PSOUNI I,1 - 5,172,GRE,2:52
Turnover foul,1,9.0,6,5,GRE,1.0,EGGENS C,1 - 5,163,CAN,2:43
Steal,1,10.0,6,5,GRE,1.0,MANOLIOUDAKI T,1 - 5,163,GRE,2:43
